School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Assisi Catholic College,Upper Coomera,86,78,--,42,8,49,--,2,95%,95%,78,38,6,7,18,23,--,--,17,7,8,4,2,--,--,3,--,--,1,--,,,,,,,49,47,17,3,--,10,8,--,--,17,--,37,31,25,5,7,8,18,--,--,1,7,7,15,19,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,30,25,--,17,10,16,--,3,87%,100%,25,16,10,--,12,7,--,--,--,1,5,1,--,--,--,1,--,--,--,--,,,,,,,16,14,7,3,--,5,4,--,--,--,--,14,11,10,7,--,7,4,--,--,--,1,0,5,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,120,93,--,83,34,53,--,8,90%,98%,93,68,28,27,47,19,--,--,--,1,27,15,6,6,10,2,--,--,--,--,,,,,,,53,47,27,11,10,20,1,--,--,--,1,67,46,56,23,23,37,20,--,--,--,--,11,12,21,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Industry Trade College,Robina,155,152,--,155,124,--,--,0,100%,100%,152,152,122,152,152,8,--,--,--,--,3,3,2,3,3,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian International Islamic College,Durack,10,2,--,1,--,10,--,0,30%,56%,,,,,,,,,,,8,1,--,1,--,--,--,--,--,--,,,,,,,10,2,1,--,1,--,--,--,--,--,--,,,,,,,,,,,,0,0,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,91,84,--,91,82,--,--,0,100%,100%,84,84,75,81,79,4,--,5,--,6,7,7,7,2,3,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High,Clayfield,70,47,--,49,8,44,--,4,90%,94%,47,33,6,19,18,7,--,--,--,--,23,16,2,6,10,1,--,--,--,--,,,,,,,44,32,27,2,9,21,5,--,--,--,--,26,15,22,6,16,7,3,--,--,--,--,7,10,16,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,80,57,--,65,14,25,--,5,93%,100%,57,48,9,44,35,4,--,--,--,--,23,17,5,11,9,--,--,--,--,--,,,,,,,25,22,20,2,17,14,--,--,--,--,--,55,35,45,12,38,30,4,--,--,--,--,5,7,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,21,15,1,16,5,7,--,0,100%,100%,15,10,2,1,7,2,--,--,--,--,5,5,3,2,2,1,--,--,--,--,1,1,--,1,--,--,7,7,2,1,--,--,1,--,--,--,--,13,8,13,4,3,9,2,--,--,--,--,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,89,84,--,89,25,35,--,0,100%,86%,84,84,23,84,50,12,10,--,1,3,5,5,2,5,3,1,--,--,--,1,,,,,,,35,35,35,5,35,13,5,9,--,1,--,54,49,54,20,54,40,8,1,--,--,4,3,13,12,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,26,22,1,18,16,10,--,0,96%,100%,22,15,14,--,8,2,--,--,--,--,3,3,2,1,2,1,--,--,--,--,,,,,,,10,10,4,4,--,2,2,--,--,--,--,15,12,14,12,1,8,1,--,--,--,--,1,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,222,139,4,126,35,106,--,10,90%,91%,139,65,18,38,34,2,--,--,4,--,79,58,17,41,25,--,--,--,--,1,4,3,--,2,1,--,106,90,25,8,6,17,--,--,--,4,1,112,49,98,27,73,42,2,--,--,--,--,10,28,37,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,7,--,7,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,125,85,--,112,26,32,--,6,95%,95%,85,78,21,56,54,26,1,--,--,--,40,34,5,26,15,--,--,--,--,1,,,,,,,32,29,26,2,22,15,8,--,--,--,--,93,56,86,24,60,54,18,1,--,--,1,2,3,12,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,147,135,3,93,23,65,--,7,95%,91%,135,88,23,54,32,29,4,--,1,--,9,2,--,1,1,--,--,--,--,--,3,3,--,3,--,1,65,65,45,10,32,9,17,3,--,1,--,79,70,45,13,23,24,12,1,--,--,--,9,18,22,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,302,269,--,238,61,114,--,0,98%,93%,269,210,55,176,91,69,11,9,6,20,33,28,6,27,3,1,--,--,--,1,,,,,,,114,107,50,9,17,33,13,1,1,4,2,188,162,188,52,186,61,57,10,8,2,19,17,37,40,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,114,62,1,110,10,33,--,3,96%,95%,62,62,7,62,25,3,--,--,--,5,51,48,3,48,5,1,--,--,--,1,,,,,,,33,25,33,--,33,13,--,--,--,--,--,80,37,77,10,77,17,4,--,--,--,6,1,8,8,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,54,43,--,52,13,20,--,2,96%,100%,43,43,9,40,22,4,--,--,1,--,11,9,4,9,2,--,--,--,--,--,,,,,,,20,18,20,2,19,11,1,--,--,1,--,34,25,32,11,30,13,3,--,--,--,--,5,7,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,12,10,--,12,8,3,--,0,100%,67%,10,10,6,7,7,2,--,--,--,--,2,2,2,1,--,--,--,--,--,--,,,,,,,3,3,3,2,2,1,1,--,--,--,--,9,7,9,6,6,6,1,--,--,--,--,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,34,30,--,19,9,17,--,1,94%,95%,30,17,7,4,8,14,--,--,1,--,4,2,2,--,1,1,--,--,--,--,,,,,,,17,16,4,3,1,--,2,--,--,1,--,17,14,15,6,3,9,13,--,--,--,--,1,2,8,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,51,44,1,51,17,18,--,0,100%,100%,44,44,15,31,44,5,--,--,--,1,6,6,2,2,5,--,--,--,--,--,1,1,--,--,1,--,18,16,18,3,10,18,1,--,--,--,1,32,28,32,14,23,31,4,--,--,--,--,1,1,8,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,113,104,3,78,14,55,--,0,100%,92%,104,69,13,54,55,4,--,--,9,--,6,6,1,5,2,--,--,--,--,--,3,3,--,2,3,--,55,54,20,2,5,16,1,--,--,9,--,55,50,55,12,54,41,3,--,--,--,--,9,17,13,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,87,65,2,28,7,34,--,12,80%,97%,65,23,5,8,16,2,1,--,--,--,20,4,2,1,1,--,--,--,--,--,2,1,--,1,--,--,,,,,,,,,,,,51,35,27,7,9,17,2,1,--,--,--,5,8,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,73,63,--,71,4,36,--,1,99%,96%,63,62,3,60,37,7,--,--,--,--,10,9,1,8,4,1,--,--,--,--,,,,,,,36,35,35,1,35,13,4,--,--,--,--,37,28,36,3,33,28,4,--,--,--,--,3,11,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,113,84,1,113,12,46,--,0,100%,86%,84,84,11,84,69,10,--,--,3,2,28,28,1,28,17,1,--,--,--,--,1,1,--,1,--,--,46,46,46,6,46,37,5,--,--,3,2,66,38,66,6,66,49,6,--,--,--,--,4,9,19,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,224,168,2,200,27,84,--,13,93%,94%,168,159,18,130,121,25,--,--,9,3,54,40,8,23,28,4,--,--,--,--,2,1,1,--,1,--,84,79,82,5,72,65,7,--,--,9,1,138,89,117,21,81,84,22,--,--,--,2,16,16,34,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,154,116,3,95,37,64,--,14,87%,98%,116,77,29,55,38,24,1,--,3,--,35,16,8,12,4,--,--,--,--,1,3,2,--,2,--,--,64,58,32,6,25,16,8,--,--,2,1,87,58,61,31,42,26,16,1,--,1,--,6,18,19,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,121,119,1,110,5,96,--,0,99%,96%,119,109,5,63,14,89,--,--,1,4,,,,,,,,,,,1,1,--,--,--,1,96,95,86,4,55,6,67,--,--,1,--,24,24,23,1,8,8,22,--,--,--,4,18,29,39,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,39,30,--,9,3,33,--,3,85%,100%,30,6,2,--,3,1,2,--,--,3,9,3,1,1,--,1,--,--,--,--,,,,,,,33,29,7,2,1,3,1,2,--,--,2,6,1,2,1,--,--,1,--,--,--,1,4,10,9,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,125,115,--,100,22,59,--,1,98%,95%,115,93,21,43,78,25,4,--,3,3,10,7,1,5,4,--,--,--,--,--,,,,,,,59,57,35,7,2,25,13,3,--,3,3,66,58,65,15,46,57,12,1,--,--,--,7,18,17,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,212,180,--,45,14,148,--,21,89%,96%,180,36,10,--,15,10,2,17,13,17,32,9,4,--,3,3,--,4,--,4,,,,,,,148,145,15,3,--,8,2,--,5,13,5,64,35,30,11,--,10,11,2,16,--,16,56,48,39,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,22,15,--,8,--,19,--,2,68%,81%,15,8,--,--,8,--,--,--,2,1,,,,,,,,,,,,,,,,,19,14,8,--,--,8,--,--,--,2,--,3,1,--,--,--,--,--,--,--,--,1,4,6,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,228,225,--,42,--,227,--,1,99%,100%,225,41,--,--,39,3,--,--,10,--,3,1,--,--,1,--,--,--,--,--,,,,,,,227,225,42,--,--,40,3,--,--,10,--,,,,,,,,,,,,92,79,43,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,245,241,--,3,--,244,--,1,98%,99%,241,3,--,1,2,--,--,--,--,--,,,,,,,,,,,,,,,,,244,241,3,--,1,2,--,--,--,--,--,,,,,,,,,,,,134,68,34,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,156,118,18,106,21,50,--,5,89%,93%,118,85,18,61,44,28,6,4,4,7,20,15,2,11,7,2,--,--,--,1,18,6,1,5,--,--,50,50,19,1,15,6,3,1,--,4,--,88,68,81,19,57,45,27,5,4,--,8,12,16,16,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,417,397,--,113,32,356,--,8,97%,99%,397,106,29,6,62,50,4,--,61,7,20,7,3,--,5,1,--,--,--,1,,,,,,,356,350,67,12,5,42,19,4,--,61,3,61,47,46,20,1,25,32,--,--,--,5,152,103,82,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Youth Education Training Centre,Wacol,2,1,--,2,--,--,--,0,100%,--,1,1,--,1,1,1,--,--,1,--,1,1,--,1,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,191,185,3,172,20,44,--,0,100%,96%,185,166,20,87,147,16,--,--,1,7,3,3,--,1,2,--,--,--,--,--,3,3,--,3,--,--,44,44,25,--,7,20,--,--,--,1,1,144,141,144,20,81,129,16,--,--,--,6,4,12,17,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,51,45,--,31,7,34,--,1,98%,96%,45,26,6,10,16,9,--,1,--,1,6,5,1,3,1,--,--,--,--,1,,,,,,,34,33,15,--,3,13,1,--,--,--,--,17,12,16,7,10,4,8,--,1,--,2,2,9,10,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,147,94,--,97,16,55,--,14,87%,96%,94,63,6,39,47,3,--,--,2,--,53,34,10,21,14,1,1,--,--,--,,,,,,,55,47,25,--,11,20,--,--,--,2,--,92,47,72,16,49,41,4,1,--,--,--,8,11,23,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,9,--,9,4,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,9,4,--,4,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,213,161,7,189,28,81,--,8,92%,92%,161,154,21,149,75,33,1,--,1,--,45,34,7,28,12,1,--,--,--,--,7,1,--,1,--,--,81,66,73,7,72,20,12,--,--,1,--,125,95,115,21,105,67,22,1,--,--,--,7,22,27,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,113,98,--,80,20,32,--,6,91%,77%,98,75,20,38,54,13,--,--,1,2,15,5,--,3,4,--,--,--,--,--,,,,,,,32,27,20,1,8,15,2,--,--,1,--,81,71,60,19,33,43,11,--,--,--,2,2,5,5,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,58,54,1,28,3,40,--,1,95%,100%,54,27,2,2,23,1,--,--,--,--,3,1,1,1,--,--,--,--,--,--,,,,,,,40,39,17,--,1,15,1,--,--,--,--,17,15,11,3,2,8,--,--,--,--,--,5,12,18,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin School,Ayr,1,--,1,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,36,33,1,31,6,20,--,0,97%,90%,33,29,6,18,28,11,--,--,--,--,2,1,--,--,1,--,--,--,--,--,1,1,--,1,--,--,20,19,15,2,7,14,2,--,--,--,--,15,14,15,4,11,15,9,--,--,--,--,5,1,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Bundaberg South,3,--,2,--,--,--,--,1,0%,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,62,60,1,62,18,28,--,0,100%,96%,60,60,17,60,26,10,--,--,--,--,1,1,1,1,1,--,--,--,--,--,1,1,--,1,--,--,28,28,28,6,28,6,8,--,--,--,--,33,32,33,12,33,21,2,--,--,--,--,4,8,12,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwgcolman Community School,Palm Island,2,1,--,1,1,--,--,1,50%,--,1,1,1,1,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,22,--,22,3,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,22,3,--,3,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,153,117,2,111,15,75,--,12,90%,98%,117,91,12,36,68,25,--,--,3,3,34,18,3,11,9,1,--,--,--,--,2,2,--,2,--,--,75,67,54,4,14,47,16,--,--,3,--,76,50,55,11,33,30,10,--,--,--,3,4,20,20,21,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Manunda Cairns,26,15,1,20,2,5,--,3,88%,100%,15,12,1,10,9,7,--,--,--,1,10,7,1,4,2,3,--,--,1,--,1,1,--,1,--,--,5,5,4,--,4,3,--,--,--,--,--,20,10,15,2,10,8,10,--,--,1,1,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,229,198,5,77,24,142,11,9,93%,97%,198,61,18,24,34,11,--,2,--,2,26,13,6,5,2,2,--,--,--,--,5,3,--,3,--,--,142,134,30,6,8,17,3,--,1,--,1,70,53,42,18,21,18,9,--,1,--,1,19,45,52,22,4,11,11,2,--,--,1,1,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,1,3,6,1
Calamvale Community College,Calamvale,159,134,--,135,26,44,--,6,96%,97%,134,116,22,66,89,32,10,--,5,5,25,19,4,9,12,2,1,--,--,1,,,,,,,44,41,26,2,18,11,4,3,--,5,--,115,93,109,24,57,90,30,8,--,--,6,9,11,16,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale State Special School,Calamvale,4,--,4,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,9,9,--,9,2,1,--,0,100%,100%,9,9,2,8,6,1,--,--,1,--,,,,,,,,,,,,,,,,,1,1,1,--,1,--,--,--,--,1,--,8,8,8,2,7,6,1,--,--,--,--,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,38,28,1,35,10,23,--,1,95%,86%,28,27,7,27,21,3,1,--,1,1,9,7,3,7,2,1,--,--,--,--,1,1,--,1,--,--,23,19,21,6,21,16,2,1,--,1,--,14,9,13,4,13,7,2,--,--,--,1,1,6,5,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra City Private School,Pelican Waters,10,9,--,5,4,7,--,0,100%,100%,9,4,3,--,2,3,--,--,1,--,1,1,1,--,--,1,--,--,--,--,,,,,,,7,7,2,1,--,1,1,--,--,1,--,3,2,3,3,--,1,3,--,--,--,--,3,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra State High School,Caloundra,199,162,--,173,44,99,--,9,95%,93%,162,146,39,139,47,20,2,--,3,--,37,27,5,24,4,--,--,--,--,--,,,,,,,99,96,87,20,86,22,11,2,--,3,--,100,66,86,24,77,29,9,--,--,--,--,9,24,39,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Christian College,Carbrook,84,74,--,26,15,66,--,4,90%,100%,74,24,15,--,4,17,1,--,5,6,10,2,--,1,--,1,--,--,--,--,,,,,,,66,62,16,10,--,2,13,--,--,5,2,18,12,10,5,1,2,5,1,--,--,4,10,23,23,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
