School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,109,108,--,18,8,89,--,1,99%,99%,108,18,8,11,3,1,1,--,19,--,,,,,,,,,,,,,,,,,89,89,6,1,3,2,--,--,--,19,--,20,19,12,7,8,1,1,1,--,--,--,33,32,20,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,5,1,--,3,2,--,--,2,60%,--,1,1,1,--,1,--,--,--,--,--,4,2,1,--,--,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,27,27,--,26,9,11,--,0,100%,100%,27,26,9,--,26,14,--,--,--,--,,,,,,,,,,,,,,,,,11,11,11,3,--,11,3,--,--,--,--,16,16,15,6,--,15,11,--,--,--,--,2,6,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,222,214,--,213,43,120,--,2,99%,95%,214,208,42,202,144,48,--,--,2,4,8,5,1,5,3,--,--,--,--,--,,,,,,,120,117,113,18,110,57,21,--,--,2,2,102,97,100,25,97,90,27,--,--,--,2,23,34,39,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,18,--,--,5,1,--,--,13,28%,0%,,,,,,,,,,,18,5,1,4,3,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,149,130,6,139,13,76,--,2,97%,89%,130,124,12,122,51,9,--,--,3,1,13,10,1,9,3,1,--,--,--,--,6,5,--,5,--,--,76,75,71,4,70,21,1,--,--,3,--,67,55,63,9,61,33,9,--,--,--,1,16,19,13,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,221,201,1,161,27,94,--,5,96%,99%,201,150,25,71,110,57,9,1,2,8,19,11,2,6,5,1,--,--,--,2,,,,,,,94,89,47,7,25,20,17,7,--,1,3,126,112,114,20,52,95,41,2,1,1,7,8,25,42,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,235,231,1,36,8,197,--,2,99%,100%,231,34,8,1,20,12,--,--,4,5,3,1,--,--,1,--,--,--,--,--,1,1,--,--,1,--,197,197,18,4,1,12,4,--,--,4,2,37,34,17,4,--,9,8,--,--,--,3,62,73,50,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,181,178,--,157,23,131,--,0,100%,98%,178,154,22,139,43,26,1,22,16,25,3,3,1,3,--,1,--,1,--,1,,,,,,,131,131,107,10,99,18,15,--,8,16,11,50,47,50,13,43,25,12,1,15,--,15,51,35,35,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,36,34,--,18,7,19,--,1,94%,94%,34,18,7,5,14,1,--,--,--,--,,,,,,,,,,,,,,,,,19,18,4,2,--,3,--,--,--,--,--,17,16,14,5,5,11,1,--,--,--,--,4,6,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,211,205,--,19,4,192,--,2,98%,97%,205,17,4,1,11,5,--,--,--,--,6,2,--,--,1,1,--,--,--,--,,,,,,,192,189,12,--,1,10,1,--,--,--,--,19,16,7,4,--,2,5,--,--,--,--,68,62,37,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,20,18,--,4,2,12,--,1,90%,100%,18,4,2,1,3,2,--,--,1,2,2,--,--,--,--,--,--,--,--,1,,,,,,,12,11,2,1,1,2,2,--,--,1,1,8,7,2,1,--,1,--,--,--,--,2,3,3,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,131,116,1,84,18,90,--,3,96%,99%,116,74,15,49,36,16,4,--,17,7,14,10,3,7,4,--,--,--,--,--,,,,,,,90,86,49,10,39,17,5,2,--,17,--,40,30,35,8,17,23,11,2,--,--,7,16,29,30,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College,Deception Bay,18,1,--,6,2,--,--,12,33%,--,1,1,--,--,1,1,--,--,--,--,17,5,2,1,--,2,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,11,--,11,1,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,11,1,--,1,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,138,128,8,129,28,50,--,0,99%,98%,128,121,27,101,94,35,--,--,4,5,2,2,1,--,1,--,--,--,--,--,8,6,--,5,2,--,50,50,43,6,38,21,12,--,--,4,2,80,78,80,22,63,74,23,--,--,--,3,12,17,17,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
