School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Annandale Christian College,Annandale,33,32,--,11,2,22,--,0,97%,95%,32,11,2,1,4,9,--,--,--,--,,,,,,,,,,,,,,,,,22,21,2,--,--,--,2,--,--,--,--,11,11,9,2,1,4,7,--,--,--,--,9,6,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,186,172,1,115,30,117,--,9,95%,95%,172,111,29,45,56,31,--,5,43,15,13,4,1,2,1,--,--,--,--,--,,,,,,,117,116,64,11,28,33,13,--,1,41,3,68,56,51,19,19,24,18,--,4,2,12,13,36,39,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia College,Varsity Lakes,35,13,--,30,8,--,--,5,86%,--,13,13,5,3,11,8,--,--,--,2,22,17,3,6,13,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College - Deception Bay,Deception Bay,44,7,1,23,7,--,--,20,52%,100%,7,7,1,--,7,2,--,--,--,--,36,16,6,4,11,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,20,--,20,7,--,--,--,0,35%,--,,,,,,,,,,,,,,,,,,,,,20,7,--,7,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,115,108,5,77,19,40,--,0,97%,100%,108,73,17,28,66,28,--,3,3,3,2,1,--,1,1,--,--,--,--,--,5,3,2,1,3,--,40,39,4,3,--,--,3,--,--,3,--,70,69,70,14,29,67,25,--,3,--,3,10,15,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,120,100,1,53,19,77,--,9,91%,96%,100,44,17,3,20,28,4,1,20,2,19,8,2,3,3,--,--,1,--,1,1,1,--,--,--,1,77,75,22,7,--,12,14,2,--,20,--,42,25,30,12,6,11,14,2,2,--,3,11,22,33,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,66,62,1,16,10,37,--,2,95%,100%,62,15,10,--,4,5,--,--,1,--,3,1,--,--,1,--,--,--,--,--,,,,,,,37,37,2,2,--,--,2,--,--,1,--,28,25,14,8,--,5,3,--,--,--,--,6,17,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,119,113,1,85,41,56,--,0,99%,98%,113,80,40,13,51,35,--,1,--,6,5,5,1,--,5,--,--,--,--,1,,,,,,,56,55,28,8,4,15,12,--,--,--,4,62,58,57,33,9,41,23,--,1,--,3,7,16,21,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Christian College - Moreton,Caboolture,107,57,--,58,12,15,--,36,66%,92%,57,44,7,15,16,15,2,6,--,7,50,14,5,2,7,2,--,3,2,3,,,,,,,15,14,7,2,5,--,2,--,1,--,1,92,43,51,10,12,23,15,2,8,2,9,0,5,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Industry Trade College,Robina,140,134,--,140,110,--,--,0,100%,100%,134,134,106,125,133,45,--,1,--,2,6,6,4,2,6,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian International Islamic College,Durack,13,12,--,1,--,13,--,0,92%,100%,12,1,--,1,--,--,--,--,--,--,,,,,,,,,,,,,,,,,13,12,1,--,1,--,--,--,--,--,--,,,,,,,,,,,,0,2,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,69,63,--,68,30,--,--,1,99%,--,63,63,27,23,63,7,1,--,--,--,6,5,3,--,4,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,70,70,--,28,8,50,--,0,100%,98%,70,28,8,3,23,5,--,--,--,--,,,,,,,,,,,,,,,,,50,50,10,1,3,7,1,--,--,--,--,20,20,18,7,--,16,4,--,--,--,--,6,16,23,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,77,76,1,40,5,25,--,0,99%,100%,76,40,5,11,36,3,--,--,--,5,,,,,,,,,,,,,,,,,25,25,3,1,--,2,1,--,--,--,4,51,51,37,4,11,34,2,--,--,--,1,4,9,9,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,27,27,--,16,1,12,--,0,100%,100%,27,16,1,1,12,7,--,--,--,1,,,,,,,,,,,,,,,,,12,12,3,--,--,3,--,--,--,--,1,15,15,13,1,1,9,7,--,--,--,--,2,4,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,75,75,--,75,21,31,--,0,100%,90%,75,75,21,75,72,7,--,--,8,1,,,,,,,,,,,,,,,,,31,31,31,5,31,28,3,--,--,8,1,44,44,44,16,44,44,4,--,--,--,--,5,6,12,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,15,14,1,13,3,4,--,0,100%,100%,14,12,2,3,12,1,--,--,--,--,,,,,,,,,,,1,1,1,--,1,--,4,4,2,--,--,2,--,--,--,--,--,10,10,10,2,3,10,1,--,--,--,--,1,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside Christian College - Hervey Bay,Urraween,2,1,--,2,--,--,--,0,100%,100%,1,1,--,--,1,--,--,--,1,--,1,1,--,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,227,213,5,217,27,108,--,1,99%,99%,213,206,27,201,69,29,--,2,6,4,9,7,--,5,5,--,--,--,--,--,5,4,--,3,2,--,108,107,101,6,99,11,12,--,1,6,2,114,106,112,21,107,63,17,--,1,--,2,14,22,38,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,10,--,10,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,144,144,--,108,38,42,--,0,100%,93%,144,108,38,14,91,27,--,--,8,1,,,,,,,,,,,,,,,,,42,42,20,3,--,17,4,--,--,7,1,102,102,88,35,14,74,23,--,--,1,--,4,6,6,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,144,135,3,142,23,36,--,0,100%,100%,135,133,20,122,50,35,1,1,6,1,6,6,2,6,1,1,--,--,--,--,3,3,1,3,1,--,36,36,35,1,34,1,2,--,--,5,--,105,99,104,21,94,50,34,1,1,1,1,2,10,17,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,311,301,1,280,50,56,--,0,100%,89%,301,271,50,245,73,58,2,34,12,41,9,9,--,9,2,--,--,1,--,1,,,,,,,56,56,27,1,2,20,3,--,2,10,2,254,245,253,49,252,55,55,2,33,2,40,17,32,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,104,101,3,95,9,23,--,0,98%,90%,101,94,9,81,55,7,16,--,--,--,,,,,,,,,,,3,1,--,1,--,--,23,23,22,1,21,6,--,4,--,--,--,78,78,72,8,60,49,7,12,--,--,--,4,3,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,79,78,1,52,8,31,--,0,99%,90%,78,52,8,29,45,4,--,--,--,--,,,,,,,,,,,,,,,,,31,31,8,1,2,4,3,--,--,--,--,47,47,44,7,27,41,1,--,--,--,--,7,9,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,6,6,--,6,2,3,--,0,100%,100%,6,6,2,--,6,--,--,--,--,--,,,,,,,,,,,,,,,,,3,3,3,--,--,3,--,--,--,--,--,3,3,3,2,--,3,--,--,--,--,--,0,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,25,23,--,22,6,8,--,0,100%,100%,23,20,6,1,18,12,--,--,--,13,2,2,--,--,2,--,--,--,--,--,,,,,,,8,8,5,2,--,4,1,--,--,--,3,17,15,17,4,1,16,11,--,--,--,10,1,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,30,29,1,29,4,10,--,0,97%,100%,29,29,4,16,29,--,--,--,--,--,,,,,,,,,,,,,,,,,10,10,10,1,7,10,--,--,--,--,--,19,19,19,3,9,19,--,--,--,--,--,1,2,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,91,89,--,67,13,39,--,0,99%,94%,89,66,13,35,61,6,--,--,--,--,2,1,--,1,--,--,--,--,--,--,,,,,,,39,37,16,1,8,14,2,--,--,--,--,52,52,51,12,28,47,4,--,--,--,--,6,9,15,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,97,92,5,74,11,33,--,0,96%,97%,92,73,11,--,60,31,--,--,--,13,,,,,,,,,,,5,1,--,--,1,--,33,33,20,1,--,15,8,--,--,--,10,59,59,53,10,--,45,23,--,--,--,3,3,9,14,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,95,95,--,95,28,41,--,0,100%,88%,95,95,28,89,49,22,--,--,--,--,,,,,,,,,,,,,,,,,41,41,41,11,41,3,9,--,--,--,--,54,54,54,17,48,46,13,--,--,--,--,7,10,12,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,75,75,--,75,7,31,--,0,100%,94%,75,75,7,75,40,14,--,4,--,5,,,,,,,,,,,,,,,,,31,31,31,--,31,5,2,--,2,--,2,44,44,44,7,44,35,12,--,2,--,3,6,13,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,246,246,--,240,27,65,--,0,100%,91%,246,240,27,213,218,43,--,--,2,1,,,,,,,,,,,,,,,,,65,65,64,5,57,55,6,--,--,2,--,181,181,176,22,156,163,37,--,--,--,1,8,9,20,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,155,146,4,111,23,58,--,1,97%,92%,146,107,22,10,81,45,--,--,2,1,5,3,1,2,1,--,--,--,--,--,4,1,--,1,--,--,58,57,27,4,2,19,13,--,--,2,1,93,89,83,19,10,63,32,--,--,--,--,7,8,19,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,137,137,--,110,8,119,--,0,100%,98%,137,110,8,74,3,79,--,--,1,--,,,,,,,,,,,,,,,,,119,119,92,6,65,--,61,--,--,1,--,18,18,18,2,9,3,18,--,--,--,--,21,37,40,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,26,22,--,6,--,17,--,1,88%,87%,22,5,--,--,3,2,--,--,1,--,4,1,--,--,1,--,--,--,--,--,,,,,,,17,15,1,--,--,--,1,--,--,1,--,9,7,5,--,--,4,1,--,--,--,--,1,7,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,168,167,1,125,41,57,--,0,100%,90%,167,124,41,52,112,58,3,2,7,3,,,,,,,,,,,1,1,--,1,1,--,57,57,26,7,2,20,5,1,--,7,--,110,110,98,34,50,92,53,2,2,--,3,8,17,24,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,201,181,--,62,7,114,--,11,93%,97%,181,56,5,2,13,34,13,24,6,24,20,6,2,--,1,1,--,2,--,2,,,,,,,114,111,11,--,--,2,5,1,5,6,5,87,70,51,7,2,12,30,12,21,--,21,63,41,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,32,29,--,17,7,17,--,0,100%,100%,29,14,5,1,4,6,--,3,--,3,3,3,2,--,1,--,--,--,--,--,,,,,,,17,17,2,1,--,1,1,--,--,--,--,15,12,15,6,1,4,5,--,3,--,3,1,5,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,235,235,--,2,--,235,--,0,100%,100%,235,2,--,--,1,--,--,1,3,1,,,,,,,,,,,,,,,,,235,235,2,--,--,1,--,--,1,3,1,,,,,,,,,,,,101,89,36,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,253,250,--,2,--,253,--,0,99%,99%,250,2,--,1,1,--,--,--,--,--,,,,,,,,,,,,,,,,,253,250,2,--,1,1,--,--,--,--,--,,,,,,,,,,,,142,64,33,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,268,238,20,157,17,90,--,5,91%,97%,238,150,16,84,72,48,19,3,11,8,10,3,--,2,1,--,--,--,--,--,20,4,1,2,2,--,90,88,19,1,14,4,1,--,--,8,--,158,150,134,15,72,69,47,19,3,3,8,21,31,25,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,494,490,1,367,11,425,--,2,99%,97%,490,366,11,7,311,81,18,22,61,22,3,1,--,1,--,--,--,--,--,1,,,,,,,425,425,307,3,--,287,33,10,13,61,13,68,65,60,8,8,24,48,8,9,--,10,195,116,72,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,159,154,5,98,15,52,--,0,99%,97%,154,95,15,20,61,48,--,--,2,--,,,,,,,,,,,5,3,--,3,3,--,52,52,12,--,1,6,5,--,--,2,--,102,102,83,15,19,55,43,--,--,--,--,3,11,15,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,43,35,--,11,3,30,--,4,84%,68%,35,10,3,--,5,5,--,--,2,--,8,1,--,--,1,--,--,--,--,--,,,,,,,30,27,3,1,--,--,3,--,--,2,--,13,8,8,2,--,6,2,--,--,--,--,4,9,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,111,102,2,71,17,41,--,4,96%,97%,102,66,16,15,54,6,--,--,--,--,7,3,--,--,3,--,--,--,--,--,2,2,1,1,1,--,41,41,12,4,1,9,1,--,--,--,--,68,61,57,12,14,48,5,--,--,--,--,2,6,21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,10,--,9,6,--,--,--,1,60%,--,,,,,,,,,,,,,,,,,,,,,9,6,--,6,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,218,216,1,216,30,69,--,0,100%,96%,216,214,29,212,145,28,--,--,1,--,1,1,1,1,--,--,--,--,--,--,1,1,--,1,--,--,69,69,67,7,67,19,8,--,--,--,--,148,147,148,23,146,126,20,--,--,1,--,12,23,19,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,113,113,--,81,23,40,--,0,100%,81%,113,81,23,56,56,24,--,1,2,1,,,,,,,,,,,,,,,,,40,40,14,2,8,5,3,--,--,2,--,73,73,67,21,48,51,21,--,1,--,1,2,9,11,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,71,71,--,33,7,46,--,0,100%,100%,71,33,7,15,16,15,--,--,--,1,,,,,,,,,,,,,,,,,46,46,10,1,1,3,8,--,--,--,--,25,25,23,6,14,13,7,--,--,--,1,11,13,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,42,38,1,38,13,13,--,0,100%,100%,38,34,10,25,31,10,--,--,--,--,3,3,2,1,2,--,--,--,--,--,1,1,1,--,--,1,13,12,9,--,7,5,1,--,--,--,--,28,26,28,12,19,28,9,--,--,--,--,1,2,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Bundaberg South,11,--,11,2,1,--,--,0,18%,--,,,,,,,,,,,,,,,,,,,,,11,2,1,1,2,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,107,102,4,105,13,45,--,0,98%,91%,102,102,12,100,45,5,1,5,2,5,1,1,--,1,1,--,--,--,--,--,4,2,1,2,1,--,45,45,45,5,44,12,1,--,3,2,3,58,57,58,7,57,34,4,1,2,--,2,7,10,18,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwgcolman Community School,Palm Island,7,7,--,7,--,--,--,0,100%,--,7,7,--,--,7,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,19,--,19,5,--,--,--,0,26%,--,,,,,,,,,,,,,,,,,,,,,19,5,--,--,5,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,168,159,5,139,11,47,--,1,99%,98%,159,132,11,64,113,65,--,14,--,16,4,3,--,2,2,--,--,--,--,--,5,4,--,4,3,--,47,47,25,--,4,19,14,--,3,--,3,116,112,110,11,62,96,51,--,11,--,13,12,17,16,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Manunda Cairns,63,48,3,34,1,16,--,8,83%,86%,48,30,1,8,9,10,5,11,--,14,12,3,--,1,--,1,--,1,--,1,3,1,--,1,--,--,16,15,3,--,1,1,--,1,--,--,1,44,33,30,1,8,8,11,4,12,--,14,2,7,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,238,221,9,98,18,153,11,4,96%,95%,221,91,13,28,57,34,--,1,1,5,8,2,--,--,2,--,--,--,--,--,9,5,5,--,4,--,153,151,44,8,13,20,13,--,--,1,1,61,59,48,5,14,39,21,--,1,--,4,20,58,45,28,2,11,10,1,--,1,--,--,--,--,--,--,4,1,--,--,--,--,--,--,--,--,--,0,2,4,5
Calamvale Community College,Calamvale,155,155,--,136,18,49,--,0,100%,98%,155,136,18,25,107,41,--,35,4,37,,,,,,,,,,,,,,,,,49,49,33,--,6,14,7,--,11,4,11,106,106,103,18,19,93,34,--,24,--,26,11,17,16,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale State Special School,Calamvale,6,--,6,2,1,--,--,0,33%,--,,,,,,,,,,,,,,,,,,,,,6,2,1,2,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,17,16,--,16,4,4,--,1,94%,100%,16,16,4,13,10,--,--,--,--,--,,,,,,,,,,,,,,,,,4,4,4,--,4,2,--,--,--,--,--,13,12,12,4,9,8,--,--,--,--,--,0,0,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,34,26,--,7,5,25,--,4,76%,100%,26,7,5,--,2,4,--,--,2,--,,,,,,,,,,,,,,,,,25,21,5,3,--,--,4,--,--,2,--,9,5,2,2,--,2,--,--,--,--,--,3,4,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra City Private School,Pelican Waters,18,16,--,15,--,15,--,2,89%,94%,16,15,--,--,5,10,--,7,2,7,,,,,,,,,,,,,,,,,15,15,14,--,--,5,10,--,6,2,6,3,1,1,--,--,--,--,--,1,--,1,3,8,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra State High School,Caloundra,142,140,2,140,25,52,--,0,99%,98%,140,139,25,129,90,24,20,--,3,--,,,,,,,,,,,2,1,--,--,1,--,52,52,51,4,51,11,6,4,--,2,--,88,88,88,21,78,79,18,16,--,1,--,10,10,20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Christian College,Carbrook,70,64,--,20,18,60,--,2,94%,98%,64,18,16,1,1,10,--,1,16,1,6,2,2,--,1,--,--,--,--,--,,,,,,,60,58,13,12,1,1,8,--,--,16,--,10,6,7,6,--,1,2,--,1,--,1,9,22,19,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
