School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,109,107,--,35,10,82,--,1,99%,99%,107,34,10,--,5,20,1,15,20,15,2,1,--,--,--,--,--,1,--,1,,,,,,,82,82,10,1,--,2,5,--,3,18,3,27,25,25,9,--,3,15,1,13,2,13,27,29,20,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,2,1,--,2,2,--,--,0,100%,100%,1,1,1,1,--,--,--,--,--,--,1,1,1,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,41,30,--,4,3,27,--,7,76%,--,30,3,2,--,1,1,--,--,--,--,11,1,1,--,--,--,--,--,--,--,,,,,,,27,24,1,--,--,--,1,--,--,--,--,14,6,3,3,--,1,--,--,--,--,--,8,9,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,192,190,--,188,10,111,--,1,99%,98%,190,187,10,184,70,50,--,1,27,1,2,1,--,1,1,--,--,--,--,--,,,,,,,111,111,108,2,106,13,18,--,1,26,1,81,79,80,8,79,58,32,--,--,1,--,17,32,38,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,24,1,--,11,2,--,--,13,46%,50%,1,1,1,1,1,--,--,--,--,--,23,10,1,5,5,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,155,152,3,106,8,61,--,0,99%,98%,152,104,7,46,95,4,--,--,16,--,,,,,,,,,,,3,2,1,1,2,--,61,61,20,1,13,13,1,--,--,16,--,91,91,84,6,33,82,3,--,--,--,--,12,16,24,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,193,189,4,160,40,67,--,0,98%,94%,189,160,40,103,103,71,1,--,3,16,,,,,,,,,,,,,,,,,67,67,45,9,36,4,22,--,--,3,6,122,122,115,31,67,99,49,1,--,--,10,10,20,22,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,235,235,--,26,5,218,--,0,100%,98%,235,26,5,--,6,8,1,11,2,11,,,,,,,,,,,,,,,,,218,218,16,3,--,5,5,1,5,2,5,17,17,10,2,--,1,3,--,6,--,6,73,79,58,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,184,183,--,95,34,151,--,1,99%,98%,183,95,34,20,31,42,--,32,12,32,,,,,,,,,,,,,,,,,151,151,68,23,16,22,21,--,23,9,23,33,32,27,11,4,9,21,--,9,3,9,45,57,34,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,44,41,--,37,5,19,--,1,95%,92%,41,36,5,--,29,17,--,2,1,28,3,1,--,--,1,--,--,--,--,1,,,,,,,19,17,13,2,--,10,3,--,--,1,11,25,24,24,3,--,20,14,--,2,--,18,1,4,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,215,215,--,37,8,185,--,0,100%,99%,215,37,8,2,5,7,--,26,3,26,,,,,,,,,,,,,,,,,185,185,7,3,1,3,3,--,--,3,--,30,30,30,5,1,2,4,--,26,--,26,85,60,34,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
