School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,101,101,--,50,9,69,--,0,100%,100%,101,50,9,2,3,23,3,30,14,30,,,,,,,,,,,,,,,,,69,69,18,--,--,1,7,1,11,14,11,32,32,32,9,2,2,16,2,19,--,19,26,26,16,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,13,13,--,11,10,--,--,0,100%,50%,13,11,10,3,--,3,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,39,32,--,6,6,23,--,3,92%,--,32,2,2,--,--,--,--,--,--,--,7,4,4,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,16,9,6,6,--,--,--,--,--,--,--,4,11,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,196,194,2,188,16,117,--,0,99%,97%,194,187,15,187,37,31,1,--,26,--,,,,,,,,,,,2,1,1,1,--,--,117,117,111,5,111,5,15,--,--,26,--,77,77,76,10,76,32,16,1,--,--,--,22,32,42,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,29,6,--,17,3,--,--,12,59%,100%,6,6,1,2,5,4,1,1,--,1,23,11,2,4,8,1,--,1,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,150,140,6,107,19,45,--,3,97%,93%,140,101,15,61,89,9,--,--,21,--,4,1,--,1,--,--,--,--,--,--,6,5,4,--,4,--,45,45,11,--,8,6,1,--,--,20,--,99,95,91,15,54,83,8,--,--,1,--,10,17,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,198,191,7,137,61,89,--,0,98%,98%,191,134,58,43,76,51,3,--,3,2,,,,,,,,,,,7,3,3,--,3,--,89,89,36,13,20,2,15,2,--,3,--,102,102,98,45,23,74,36,1,--,--,2,12,27,33,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,238,236,2,24,1,211,--,0,100%,100%,236,22,1,--,4,4,--,15,3,15,,,,,,,,,,,2,2,--,2,--,--,211,211,15,1,--,3,2,--,10,3,10,25,25,7,--,--,1,2,--,5,--,5,80,80,43,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,179,177,--,82,21,148,--,0,100%,99%,177,80,20,6,30,42,1,32,6,32,2,2,1,--,--,2,--,1,--,1,,,,,,,148,148,51,10,1,20,21,--,19,3,19,31,29,31,11,5,10,23,1,14,3,14,63,42,38,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,40,39,--,32,5,17,--,0,100%,94%,39,31,5,--,24,22,--,--,1,--,1,1,--,--,1,--,--,--,--,--,,,,,,,17,17,11,1,--,5,7,--,--,--,--,23,22,21,4,--,20,15,--,--,1,--,2,4,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
