School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,103,103,--,27,11,76,--,0,100%,97%,103,27,11,9,14,5,--,--,6,4,,,,,,,,,,,,,,,,,76,76,11,--,1,10,--,--,--,6,1,27,27,16,11,8,4,5,--,--,--,3,17,26,28,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,4,1,--,1,1,--,--,2,50%,--,,,,,,,,,,,3,1,1,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,35,31,--,29,19,5,--,1,97%,--,31,26,17,--,4,20,--,--,--,4,4,3,2,--,1,--,--,--,--,--,,,,,,,5,5,5,4,--,--,5,--,--,--,--,30,26,24,15,--,5,15,--,--,--,4,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,197,161,--,134,25,112,--,14,90%,96%,161,118,20,95,83,18,--,--,--,23,36,16,5,12,8,2,--,--,--,4,,,,,,,112,101,65,11,53,43,7,--,--,--,17,85,60,69,14,54,48,13,--,--,--,10,15,23,34,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,14,3,--,6,--,--,--,7,50%,50%,3,2,--,--,2,--,--,--,--,1,11,4,--,1,2,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,132,103,2,128,12,61,--,2,98%,92%,103,102,10,101,34,1,--,--,--,3,27,25,2,24,8,--,--,--,--,--,2,1,--,1,--,--,61,55,60,4,60,12,1,--,--,--,1,69,48,67,8,65,30,--,--,--,--,2,12,16,17,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,232,186,3,126,13,110,--,12,93%,92%,186,96,12,32,76,33,--,--,1,18,43,28,1,12,19,1,--,--,--,6,3,2,--,2,--,--,110,103,33,2,1,29,4,--,--,1,11,119,83,91,11,43,66,30,--,--,--,13,12,28,43,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,237,236,--,87,10,181,--,0,100%,99%,236,87,10,--,79,10,--,--,3,16,,,,,,,,,,,,,,,,,181,180,51,4,--,49,--,--,--,3,3,56,56,36,6,--,30,10,--,--,--,13,54,74,45,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,166,163,--,46,12,116,--,0,100%,97%,163,43,10,7,30,11,--,--,10,6,3,3,2,2,1,--,--,--,--,--,,,,,,,116,116,15,3,1,11,2,--,--,6,2,50,47,31,9,8,20,9,--,--,4,4,42,42,25,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,46,29,--,6,5,24,--,7,67%,100%,29,4,3,--,1,1,--,--,--,2,17,2,2,--,1,--,--,--,--,--,,,,,,,24,16,--,--,--,--,--,--,--,--,1,22,13,6,5,--,2,1,--,--,--,1,0,5,6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,211,187,--,37,6,188,--,11,91%,95%,187,32,5,--,29,3,--,--,--,9,24,5,1,3,1,--,--,--,--,4,,,,,,,188,180,28,1,--,26,2,--,--,--,11,23,7,9,5,3,4,1,--,--,--,2,52,58,52,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,18,14,--,4,2,11,--,3,83%,89%,14,3,2,--,1,2,--,--,--,1,4,1,--,--,1,--,--,--,--,--,,,,,,,11,11,1,--,--,--,1,--,--,--,--,7,3,3,2,--,2,1,--,--,--,1,1,5,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,127,82,1,79,25,67,--,14,84%,98%,82,54,14,12,38,16,--,--,9,12,44,25,11,6,11,5,--,--,--,7,,,,,,,67,58,38,6,9,27,8,--,--,9,5,59,24,41,19,9,22,13,--,--,--,14,13,18,24,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
