School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,85,85,--,36,1,71,--,0,100%,99%,85,36,1,--,3,4,--,31,13,31,,,,,,,,,,,,,,,,,71,71,22,1,--,2,3,--,19,12,19,14,14,14,--,--,1,1,--,12,1,12,21,25,14,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,10,6,--,8,7,--,--,1,90%,0%,6,5,4,--,1,3,--,--,--,--,4,3,3,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,25,23,1,10,7,13,--,0,96%,--,23,9,6,--,--,7,--,--,--,--,1,1,1,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,11,10,10,7,--,--,7,--,--,--,--,2,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,140,138,1,111,15,75,--,0,100%,97%,138,109,14,84,47,27,4,--,13,--,1,1,--,1,--,--,--,--,--,--,1,1,1,--,--,--,75,74,52,6,41,10,9,4,--,13,--,64,64,58,8,44,37,18,--,--,--,--,12,22,26,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,23,4,1,17,3,--,--,6,74%,100%,4,4,2,1,4,2,--,--,--,--,18,12,1,6,6,--,--,--,--,--,1,1,--,1,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,92,87,5,59,13,33,--,0,97%,100%,87,57,11,29,43,2,--,--,1,--,,,,,,,,,,,5,2,2,--,1,--,33,33,10,1,9,3,--,--,--,1,--,54,54,47,10,20,40,2,--,--,--,--,3,9,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,117,112,3,82,52,59,--,0,99%,98%,112,78,49,13,42,46,--,--,2,--,2,1,--,--,--,1,--,--,--,--,3,3,3,--,2,--,59,58,29,17,5,12,23,--,--,2,--,55,54,50,32,8,30,24,--,--,--,--,6,16,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,211,211,--,23,3,188,--,0,100%,100%,211,23,3,--,5,5,--,14,--,15,,,,,,,,,,,,,,,,,188,188,12,2,--,3,3,--,6,--,6,23,23,11,1,--,2,2,--,8,--,9,71,69,39,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,188,187,--,77,29,154,--,0,100%,99%,187,76,28,6,7,38,--,39,7,43,1,1,1,--,--,--,--,1,--,1,,,,,,,154,154,44,11,2,5,18,--,23,7,26,34,33,33,18,4,2,20,--,17,--,18,62,60,27,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,33,31,--,14,3,16,--,1,97%,100%,31,13,3,--,10,1,--,--,2,--,2,1,--,--,1,--,--,--,--,--,,,,,,,16,16,2,1,--,1,1,--,--,2,--,17,15,12,2,--,10,--,--,--,--,--,0,6,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta-1 College,Caboolture,5,3,--,5,1,--,--,0,100%,--,3,3,1,2,3,--,--,--,--,--,2,2,--,1,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrose Treacy College (Indooroopilly),Indooroopilly,80,80,--,48,6,41,--,0,100%,100%,80,48,6,16,27,27,1,21,1,22,,,,,,,,,,,,,,,,,41,41,9,--,--,2,2,--,7,1,7,39,39,39,6,16,25,25,1,14,--,15,16,13,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,176,173,--,26,4,123,27,2,98%,100%,173,26,4,--,13,14,5,20,--,22,,,,,,,,,,,,,,,,,123,122,2,--,--,1,1,--,--,--,1,24,24,24,4,--,12,13,5,20,--,21,56,46,16,4,1,27,27,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,--,1,8,9,9
Annandale Christian College,Annandale,23,23,--,10,1,15,--,0,100%,82%,23,10,1,--,10,4,--,--,--,--,,,,,,,,,,,,,,,,,15,15,7,--,--,7,3,--,--,--,--,8,8,3,1,--,3,1,--,--,--,--,5,3,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,130,125,1,109,9,63,--,1,98%,95%,125,106,8,55,53,19,--,56,7,56,4,3,1,1,1,--,--,1,--,1,,,,,,,63,63,49,3,30,24,4,--,15,6,15,66,62,60,6,26,30,15,--,42,1,42,9,18,23,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia College,Varsity Lakes,28,12,--,25,9,--,--,3,89%,100%,12,12,5,--,11,9,--,--,--,--,16,13,4,--,6,7,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College - Deception Bay,Deception Bay,21,9,--,15,5,--,--,5,76%,100%,9,8,2,2,7,2,1,--,--,--,12,7,3,4,2,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,13,--,13,9,--,--,--,0,69%,--,,,,,,,,,,,,,,,,,,,,,13,9,--,9,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,90,85,3,49,11,37,--,0,97%,91%,85,47,10,33,44,6,--,--,5,1,2,2,1,--,1,--,--,--,--,--,,,,,,,37,37,4,1,--,2,1,--,--,3,--,50,48,45,10,33,43,5,--,--,2,1,8,8,16,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
