School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Australian Industry Trade College,Robina,138,137,--,137,118,--,--,1,99%,100%,137,137,118,137,137,4,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian International Islamic College,Durack,3,2,--,--,--,3,--,0,67%,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,117,111,--,117,98,--,--,0,100%,100%,111,111,92,110,111,10,--,--,--,1,6,6,6,4,3,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,89,54,--,28,4,55,--,13,71%,93%,54,19,2,13,8,5,--,--,--,1,35,9,2,6,3,--,--,--,--,--,,,,,,,55,39,12,3,5,8,2,--,--,--,--,34,15,16,1,14,3,3,--,--,--,1,7,9,20,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,82,67,--,53,14,32,--,3,94%,100%,67,43,11,28,30,5,--,--,--,1,15,10,3,7,2,1,--,--,--,--,,,,,,,32,30,8,3,--,7,2,--,--,--,--,50,37,45,11,35,25,4,--,--,--,1,3,13,10,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,17,11,--,14,3,2,--,0,94%,100%,11,9,1,--,7,3,--,--,--,--,6,5,2,2,2,--,--,--,--,--,,,,,,,,,,,,,,,,,,15,10,14,3,2,9,3,--,--,--,--,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,89,71,--,85,17,50,--,3,97%,86%,71,70,14,67,33,6,--,--,7,4,18,15,3,14,4,--,--,--,--,--,,,,,,,50,48,49,6,47,22,3,--,--,7,2,39,23,36,11,34,15,3,--,--,--,2,8,15,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,23,20,--,19,16,7,--,2,91%,100%,20,18,15,1,12,3,--,--,--,--,3,1,1,--,--,--,--,--,--,--,,,,,,,7,7,6,5,--,2,3,--,--,--,--,16,13,13,11,1,10,--,--,--,--,--,0,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,219,160,4,159,53,116,--,1,97%,95%,160,107,30,68,64,9,--,--,--,4,55,49,23,36,19,1,--,--,--,--,4,3,--,3,--,--,116,103,58,18,19,37,3,--,--,--,3,99,57,98,35,85,46,7,--,--,--,1,16,24,39,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,9,--,8,--,--,--,--,1,0%,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,219,111,1,179,27,36,--,32,85%,86%,111,104,15,85,80,29,--,--,--,1,107,75,12,56,28,4,--,--,--,2,,,,,,,36,31,31,1,25,15,4,--,--,--,--,182,80,148,26,116,93,29,--,--,--,3,4,5,6,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,177,134,--,113,51,84,--,20,86%,92%,134,94,44,63,36,22,--,--,7,--,43,19,7,13,6,1,--,--,1,--,,,,,,,84,77,56,20,39,20,12,--,--,8,--,93,57,57,31,37,22,11,--,--,--,--,16,25,26,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,261,244,--,187,28,114,--,0,100%,85%,244,170,27,157,41,48,18,15,12,22,17,17,1,17,3,1,--,--,--,--,,,,,,,114,113,40,3,27,15,7,2,2,11,3,147,131,147,25,147,29,42,16,13,1,19,17,38,30,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,127,60,3,116,7,48,--,8,91%,100%,60,60,4,60,23,3,1,1,--,1,64,55,3,54,7,1,--,--,--,--,3,1,--,1,--,--,48,41,47,1,47,21,1,1,--,--,--,76,19,68,6,67,9,3,--,1,--,1,3,12,11,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,84,57,2,56,21,38,--,4,92%,97%,57,36,13,25,18,7,--,--,5,--,25,19,7,19,1,--,--,--,1,--,2,1,1,--,--,--,38,35,15,4,4,10,3,--,--,6,--,44,22,40,16,40,9,4,--,--,--,--,7,9,15,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,18,14,--,8,6,5,--,3,78%,100%,14,8,6,4,3,1,--,--,--,--,,,,,,,,,,,,,,,,,5,4,2,1,1,--,--,--,--,--,--,13,10,6,5,3,3,1,--,--,--,--,0,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,30,25,--,20,14,15,--,1,87%,91%,25,19,14,3,17,11,--,--,--,--,5,1,--,1,1,--,--,--,--,--,,,,,,,15,12,6,6,--,5,1,--,--,--,--,15,13,14,8,4,13,10,--,--,--,--,1,1,5,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,65,57,2,64,22,17,--,0,98%,100%,57,57,19,28,57,8,--,--,1,--,6,6,3,3,6,--,--,--,--,--,2,1,--,--,1,--,17,16,17,3,6,17,2,--,--,1,--,46,41,46,19,25,46,6,--,--,--,--,0,1,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,81,75,1,64,24,35,--,0,99%,96%,75,59,23,43,43,1,--,--,1,--,5,4,1,4,2,--,--,--,--,--,1,1,--,1,1,--,35,34,18,6,5,13,--,--,--,1,--,45,41,45,18,42,32,1,--,--,--,--,5,9,16,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,89,58,1,34,15,30,--,12,79%,88%,58,22,10,--,16,2,--,--,--,--,30,12,5,3,8,--,--,--,--,--,,,,,,,30,23,5,3,--,4,1,--,--,--,--,58,35,29,12,3,20,1,--,--,--,--,7,2,11,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,79,62,--,72,18,34,--,2,96%,97%,62,58,15,56,35,20,--,--,1,--,17,14,3,14,3,1,--,--,--,--,,,,,,,34,31,30,5,28,14,7,--,--,1,--,45,31,42,13,42,24,14,--,--,--,--,4,6,10,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,110,73,1,109,5,54,--,0,99%,90%,73,73,4,73,52,11,--,--,--,1,36,36,1,36,21,1,--,--,--,--,,,,,,,54,51,54,2,54,32,7,--,--,--,1,55,22,55,3,55,41,5,--,--,--,--,5,13,15,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,180,124,4,145,30,61,--,14,89%,86%,124,108,25,60,88,21,--,--,--,4,52,36,5,21,23,2,--,--,--,2,4,1,--,1,1,--,61,58,49,11,27,42,10,--,--,--,--,115,66,95,19,54,69,13,--,--,--,6,3,16,14,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,158,112,2,95,25,75,--,20,84%,87%,112,74,22,58,34,13,--,--,6,--,44,20,3,14,7,1,--,--,--,--,2,1,--,1,--,--,75,66,39,7,29,19,5,--,--,5,--,81,46,55,18,43,22,9,--,--,1,--,12,12,23,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,100,94,1,62,2,87,--,2,94%,97%,94,62,2,48,36,3,--,--,7,9,5,--,--,--,--,--,--,--,--,1,,,,,,,87,84,56,1,46,32,2,--,--,7,6,12,10,6,1,2,4,1,--,--,--,4,15,20,28,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,47,39,--,9,3,43,--,0,89%,79%,39,6,2,--,4,1,--,--,1,3,8,3,1,--,1,1,--,--,--,1,,,,,,,43,36,7,2,--,5,1,--,--,1,3,4,3,2,1,--,--,1,--,--,--,1,6,9,14,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,122,106,--,90,19,58,--,1,97%,88%,106,78,18,38,72,9,--,--,1,1,16,12,1,5,12,--,--,--,--,--,,,,,,,58,53,30,5,4,29,4,--,--,1,1,64,53,60,14,39,55,5,--,--,--,--,4,12,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,218,194,--,19,12,160,--,10,91%,98%,194,14,8,3,7,4,--,--,2,1,24,5,4,--,1,--,--,--,--,1,,,,,,,160,151,3,1,1,2,--,--,--,2,--,58,43,16,11,2,6,4,--,--,--,2,68,51,27,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,21,16,--,7,2,18,--,2,86%,94%,16,5,2,1,4,--,--,--,--,--,5,2,--,--,2,--,--,--,--,--,,,,,,,18,15,6,1,--,6,--,--,--,--,--,3,1,1,1,1,--,--,--,--,--,--,1,5,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,234,234,--,25,1,234,--,0,100%,100%,234,25,1,--,25,1,--,--,11,--,,,,,,,,,,,,,,,,,234,234,25,1,--,25,1,--,--,11,--,,,,,,,,,,,,100,74,47,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,237,235,--,7,2,237,--,0,99%,100%,235,7,2,1,5,1,--,--,--,--,,,,,,,,,,,,,,,,,237,235,7,2,1,5,1,--,--,--,--,,,,,,,,,,,,129,69,27,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,110,75,6,75,16,30,--,9,87%,93%,75,54,10,34,27,14,4,--,6,3,29,18,5,13,9,2,--,--,--,1,6,3,1,2,--,--,30,28,12,1,7,3,3,--,--,1,--,74,47,60,14,40,33,13,4,--,5,4,9,8,11,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,400,366,--,96,21,357,--,5,95%,98%,366,82,17,10,64,19,1,--,69,2,34,14,4,1,11,3,--,--,--,--,,,,,,,357,336,70,14,7,53,15,1,--,69,--,43,30,26,7,4,22,7,--,--,--,2,144,101,66,36,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Youth Education Training Centre,Wacol,12,2,--,12,1,--,--,0,100%,--,2,2,--,2,1,2,--,--,--,--,10,10,1,6,5,7,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,191,186,1,173,20,47,--,0,99%,86%,186,169,19,96,135,26,--,--,2,8,4,4,1,3,1,--,--,--,--,--,,,,,,,47,47,31,1,13,20,2,--,--,1,3,143,139,142,19,86,116,24,--,--,1,5,3,5,17,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,37,29,--,16,2,25,--,4,84%,100%,29,14,2,6,10,2,--,--,--,--,8,2,--,1,1,1,--,--,--,--,,,,,,,25,22,9,--,--,8,3,--,--,--,--,12,7,7,2,7,3,--,--,--,--,--,5,3,11,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,149,104,--,108,12,65,--,6,90%,96%,104,78,11,37,62,1,--,--,1,--,45,30,1,21,14,--,--,--,--,--,,,,,,,65,47,34,2,16,24,--,--,--,1,--,84,57,74,10,42,52,1,--,--,--,--,5,10,24,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,8,--,8,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,225,173,9,191,26,97,--,6,94%,98%,173,153,18,144,65,11,1,--,4,--,43,37,8,36,9,--,--,--,--,--,9,1,--,1,--,--,97,94,79,6,75,29,7,1,--,3,--,119,79,111,20,105,45,4,--,--,1,--,16,26,30,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,93,67,--,78,17,30,--,10,86%,88%,67,65,14,47,40,15,--,--,--,1,26,13,3,9,9,1,--,--,--,--,,,,,,,30,24,25,6,12,18,1,--,--,--,1,63,43,53,11,44,31,15,--,--,--,--,1,4,9,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,63,58,1,38,7,46,--,1,95%,100%,58,36,5,2,32,2,--,--,--,1,4,2,2,--,--,--,--,--,--,--,,,,,,,46,45,24,3,2,22,1,--,--,--,--,16,13,14,4,--,10,1,--,--,--,1,7,13,16,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin School,Ayr,1,--,1,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,30,25,2,27,4,15,--,0,90%,86%,25,25,3,19,23,1,--,--,--,--,3,1,--,1,--,--,--,--,--,--,2,1,1,1,--,--,15,12,13,2,11,10,1,--,--,--,--,13,13,13,1,9,13,--,--,--,--,--,2,2,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Bundaberg South,6,--,6,1,--,--,--,0,17%,--,,,,,,,,,,,,,,,,,,,,,6,1,--,1,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,57,53,3,57,10,29,--,0,100%,100%,53,53,8,53,18,9,1,--,1,--,1,1,1,1,1,1,--,--,--,--,3,3,1,3,--,--,29,28,29,2,29,9,1,--,--,1,--,25,25,25,7,25,10,9,1,--,--,--,4,3,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,21,--,21,8,--,--,--,0,38%,--,,,,,,,,,,,,,,,,,,,,,21,8,--,8,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,177,126,--,129,19,93,--,14,88%,86%,126,100,12,35,87,22,1,--,2,6,51,29,7,20,15,1,--,--,--,1,,,,,,,93,81,62,5,12,57,15,1,--,2,3,84,45,67,14,43,45,8,--,--,--,4,11,19,31,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Manunda Cairns,25,20,--,22,8,4,--,1,96%,33%,20,18,7,12,12,4,--,1,--,1,5,4,1,4,2,1,--,--,--,--,,,,,,,4,4,2,--,2,1,--,--,--,--,--,21,16,20,8,14,13,5,--,1,--,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,231,175,8,71,22,139,8,27,82%,94%,175,58,18,18,36,12,--,--,--,1,48,10,4,--,6,3,--,--,--,--,8,3,--,2,2,--,139,129,29,11,2,24,6,--,--,--,--,67,40,38,11,16,17,9,--,--,--,1,22,42,43,28,4,8,6,1,--,--,1,--,--,--,--,--,9,--,--,--,--,--,--,--,--,--,--,0,1,2,5
Calamvale Community College,Calamvale,164,118,--,161,16,47,--,3,98%,86%,118,118,12,110,76,20,10,--,5,6,46,43,4,39,27,5,1,--,--,5,,,,,,,47,45,47,2,46,9,3,1,--,5,1,117,73,114,14,103,94,22,10,--,--,10,2,15,14,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale State Special School,Calamvale,14,--,14,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,14,12,--,14,3,--,--,0,100%,--,12,12,3,12,8,--,--,--,2,--,2,2,--,2,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,22,21,--,22,3,18,--,0,100%,100%,21,21,3,20,14,1,--,--,--,--,1,1,--,1,1,--,--,--,--,--,,,,,,,18,17,18,1,18,13,--,--,--,--,--,4,4,4,2,3,2,1,--,--,--,--,1,9,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra City Private School,Pelican Waters,15,14,--,10,4,15,--,0,93%,100%,14,10,4,2,4,3,--,--,3,--,,,,,,,,,,,,,,,,,15,14,10,4,2,4,3,--,--,3,--,,,,,,,,,,,,0,4,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra State High School,Caloundra,237,204,--,215,40,149,--,5,97%,88%,204,190,34,188,51,11,1,--,5,--,33,25,6,23,3,--,1,--,--,1,,,,,,,149,138,136,23,134,37,8,2,--,5,--,88,66,79,17,77,17,3,--,--,--,1,19,28,45,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Christian College,Carbrook,90,64,--,26,16,66,--,11,77%,94%,64,21,13,1,4,12,--,--,8,5,26,5,3,1,3,--,--,--,--,2,,,,,,,66,55,15,10,1,4,9,--,--,8,4,24,9,11,6,1,3,3,--,--,--,3,11,16,25,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Christian College,Mount Louisa,31,26,2,5,2,21,--,1,87%,100%,26,4,2,--,4,--,--,--,--,--,3,1,--,--,1,--,--,--,--,--,,,,,,,21,19,3,1,--,3,--,--,--,--,--,8,7,2,1,--,2,--,--,--,--,--,2,6,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
