School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,99,97,--,31,12,81,--,0,99%,100%,97,30,12,11,16,7,1,--,9,1,2,1,--,1,--,--,--,--,--,--,,,,,,,81,80,19,2,6,12,--,--,--,8,--,18,17,12,10,6,4,7,1,--,1,1,23,26,24,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,5,4,--,5,3,--,--,0,100%,--,4,4,2,--,3,4,--,--,--,--,1,1,1,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,40,39,--,39,7,25,--,0,100%,--,39,38,7,3,38,13,--,--,--,--,1,1,--,1,1,--,--,--,--,--,,,,,,,25,25,25,2,--,25,6,--,--,--,--,15,14,14,5,4,14,7,--,--,--,--,2,10,10,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,198,179,--,173,28,102,--,0,100%,97%,179,154,23,143,134,18,4,--,4,9,19,19,5,18,7,1,--,--,--,1,,,,,,,102,98,77,11,71,59,4,3,--,4,3,96,81,96,17,90,82,15,1,--,--,7,16,27,28,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,9,1,--,2,--,--,--,7,22%,100%,1,1,--,--,--,1,--,--,--,--,8,1,--,1,1,--,--,--,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,133,119,1,130,16,61,--,1,98%,92%,119,118,15,115,67,17,1,--,5,2,13,12,1,11,6,--,--,--,--,--,,,,,,,61,60,60,5,58,32,2,1,--,5,1,71,59,70,11,68,41,15,--,--,--,1,7,14,16,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,235,206,4,163,19,105,--,4,96%,91%,206,144,15,53,109,44,1,--,2,10,25,18,4,5,13,1,--,--,--,1,4,1,--,--,1,--,105,101,44,2,29,15,10,--,--,2,3,126,105,118,17,29,107,35,1,--,--,8,15,30,32,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,239,236,2,19,4,211,--,0,99%,100%,236,18,4,--,9,9,--,--,6,2,,,,,,,,,,,2,1,--,--,--,1,211,210,13,2,--,9,4,--,--,6,1,26,26,5,2,--,--,5,--,--,--,1,66,77,53,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,181,180,--,113,19,145,--,0,100%,98%,180,112,19,95,31,23,6,--,17,--,1,1,--,1,--,--,--,--,--,--,,,,,,,145,145,80,8,69,17,11,2,--,15,--,36,35,33,11,27,14,12,4,--,2,--,46,44,43,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,48,35,--,18,5,28,--,4,88%,95%,35,11,2,5,5,3,--,--,--,--,13,7,3,6,3,--,--,--,--,--,,,,,,,28,25,5,1,2,--,2,--,--,--,--,20,10,13,4,9,8,1,--,--,--,--,7,0,8,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,231,218,--,28,7,208,--,6,96%,98%,218,25,4,11,13,2,--,--,4,2,13,3,3,3,1,--,--,--,--,--,,,,,,,208,204,16,--,6,10,--,--,--,4,--,23,14,12,7,8,4,2,--,--,--,2,78,60,46,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,17,15,--,8,3,10,--,1,88%,100%,15,8,3,1,6,4,--,--,--,1,,,,,,,,,,,,,,,,,10,9,4,1,1,2,2,--,--,--,--,7,6,4,2,--,4,2,--,--,--,1,3,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,117,92,1,96,28,67,--,7,91%,99%,92,81,23,60,46,32,--,1,20,3,24,15,5,9,5,2,1,--,1,3,,,,,,,67,60,55,13,43,27,14,1,--,20,1,49,32,41,15,26,24,20,--,1,1,5,7,20,23,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College,Deception Bay,7,--,--,2,2,--,--,5,29%,--,,,,,,,,,,,7,2,2,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,20,--,20,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,118,103,1,110,12,52,--,0,99%,87%,103,96,12,77,71,18,2,--,3,2,14,13,--,8,8,3,--,--,--,--,1,1,--,1,--,--,52,49,46,--,34,23,8,2,--,3,--,65,54,63,12,51,56,13,--,--,--,2,4,15,10,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,63,49,--,32,6,34,--,11,81%,96%,49,30,4,--,20,14,--,--,12,3,14,2,2,1,--,1,--,--,1,1,,,,,,,34,33,17,--,--,15,3,--,--,13,--,29,16,15,6,1,5,12,--,--,--,4,5,7,15,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,39,33,1,23,12,22,--,0,95%,100%,33,19,10,--,13,5,--,--,--,5,5,4,2,--,2,--,--,--,--,--,,,,,,,22,19,8,3,--,6,2,--,--,--,4,16,14,15,9,--,9,3,--,--,--,1,4,9,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,149,99,4,118,39,63,--,7,93%,95%,99,78,24,58,64,13,--,--,3,1,46,37,15,30,19,1,--,--,--,--,4,3,--,3,--,--,63,57,42,9,34,33,1,--,--,3,--,82,42,73,30,54,50,13,--,--,--,1,20,25,7,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
