School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Alta-1 College,Caboolture,3,--,--,1,--,--,--,2,33%,--,,,,,,,,,,,3,1,--,--,--,1,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,224,224,--,37,4,193,--,0,100%,99%,224,37,4,1,8,7,2,29,--,29,,,,,,,,,,,,,,,,,193,193,6,--,1,5,1,--,--,--,--,31,31,31,4,--,3,6,2,29,--,29,84,69,35,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,48,46,--,14,2,30,--,0,98%,93%,46,13,2,--,13,9,--,--,--,--,2,1,--,--,1,--,--,--,--,--,,,,,,,30,29,4,--,--,4,3,--,--,--,--,18,17,10,2,--,10,6,--,--,--,--,7,12,7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,185,174,2,148,26,71,--,3,97%,95%,174,142,23,52,79,41,--,60,24,60,9,5,2,--,3,--,--,3,--,3,2,1,1,--,1,--,71,70,54,6,25,28,9,--,12,24,12,112,104,93,19,27,54,32,--,51,--,51,10,19,26,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia College,Varsity Lakes,27,1,--,19,16,--,--,8,70%,33%,1,1,1,--,1,1,--,--,--,--,26,18,15,2,5,6,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College - Deception Bay,Deception Bay,9,--,--,4,--,--,--,5,44%,--,,,,,,,,,,,9,4,--,--,4,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,13,--,13,3,--,--,--,0,23%,--,,,,,,,,,,,,,,,,,,,,,13,3,--,3,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,94,92,1,44,7,53,--,0,99%,100%,92,43,6,23,36,6,--,--,3,--,,,,,,,,,,,1,1,1,--,--,--,53,52,4,2,1,1,2,--,--,3,--,40,40,39,4,22,35,4,--,--,--,--,8,17,17,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,126,122,1,73,27,74,--,1,99%,99%,122,70,26,12,14,44,10,10,22,10,3,2,--,2,--,--,--,--,--,--,1,1,1,--,1,--,74,74,29,13,--,4,17,7,3,22,3,51,48,43,13,14,10,27,3,7,--,7,11,21,29,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,59,59,--,23,11,33,--,0,100%,96%,59,23,11,1,7,14,--,--,--,--,,,,,,,,,,,,,,,,,33,33,4,3,--,--,2,--,--,--,--,26,26,19,8,1,7,12,--,--,--,--,4,14,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,123,119,3,95,37,61,--,0,98%,100%,119,93,36,8,75,25,--,--,--,--,1,1,--,--,1,--,--,--,--,--,3,1,1,--,1,--,61,60,35,17,--,25,14,--,--,--,--,59,59,59,19,8,51,11,--,--,--,--,9,16,22,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Christian College - Moreton,Caboolture,73,59,2,41,16,25,--,6,89%,92%,59,35,15,2,16,23,4,2,5,2,12,6,1,--,6,--,--,--,--,--,,,,,,,25,25,6,2,1,2,4,--,--,3,--,46,34,35,14,1,20,19,4,2,2,2,4,5,9,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Industry Trade College (Gold Coast),Robina,164,163,--,164,121,--,--,0,100%,50%,163,163,120,149,145,37,1,--,--,1,1,1,1,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian International Islamic College,Durack,18,12,--,2,--,16,--,1,72%,92%,12,1,--,--,1,--,--,--,--,--,6,1,--,--,1,--,--,--,--,--,,,,,,,16,12,1,--,--,1,--,--,--,--,--,2,0,1,--,--,1,--,--,--,--,--,0,3,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Technology and Agricultural College,North Maclean,3,3,--,3,1,--,--,0,100%,--,3,3,1,2,3,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,72,68,--,72,41,--,--,0,100%,--,68,68,37,24,68,5,--,--,--,--,4,4,4,2,4,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,76,76,--,49,21,43,--,0,100%,94%,76,49,21,--,36,18,1,--,--,1,,,,,,,,,,,,,,,,,43,43,17,10,--,7,8,--,--,--,--,33,33,32,11,--,29,10,1,--,--,1,6,11,21,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,70,63,--,35,6,28,--,4,94%,95%,63,32,6,10,28,7,--,--,1,--,7,3,--,--,3,--,--,--,--,--,,,,,,,28,28,2,1,--,1,2,--,--,1,--,42,35,33,5,10,30,5,--,--,--,--,2,10,11,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,12,11,1,5,3,6,--,0,100%,100%,11,4,2,--,4,2,--,--,--,--,,,,,,,,,,,1,1,1,--,1,--,6,6,1,--,--,1,--,--,--,--,--,5,5,3,2,--,3,2,--,--,--,--,1,2,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,53,52,1,53,12,25,--,0,100%,96%,52,52,12,47,26,8,--,--,--,--,,,,,,,,,,,1,1,--,1,--,--,25,25,25,1,25,2,1,--,--,--,--,27,27,27,11,22,24,7,--,--,--,--,2,13,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,17,15,2,13,5,9,--,0,94%,100%,15,12,4,--,11,--,--,--,--,--,,,,,,,,,,,2,1,1,--,--,--,9,9,6,1,--,6,--,--,--,--,--,6,6,6,3,--,5,--,--,--,--,--,2,3,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,222,210,2,216,18,112,--,1,99%,95%,210,206,18,202,56,39,--,--,2,1,10,8,--,8,2,--,--,--,--,--,2,2,--,1,1,1,112,108,107,2,107,12,17,--,--,2,--,108,102,107,16,103,46,22,--,--,--,1,9,23,35,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,10,--,10,1,1,--,--,0,10%,--,,,,,,,,,,,,,,,,,,,,,10,1,1,1,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,142,137,4,111,42,37,--,0,99%,97%,137,107,41,29,86,30,1,--,1,2,1,1,--,--,1,--,--,--,--,--,4,3,1,1,3,--,37,37,12,5,--,7,2,--,--,1,--,101,100,96,36,29,80,28,1,--,--,2,1,6,9,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,124,122,--,117,18,33,--,1,99%,92%,122,116,18,102,58,8,2,--,3,--,2,1,--,1,--,--,--,--,--,--,,,,,,,33,33,32,2,32,5,1,1,--,3,--,91,89,85,16,71,53,7,1,--,--,--,7,7,16,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,270,270,--,254,50,47,--,0,100%,97%,270,254,50,208,158,62,4,19,6,26,,,,,,,,,,,,,,,,,47,47,35,1,--,34,2,--,2,4,2,223,223,219,49,208,124,60,4,17,2,24,10,23,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,103,99,4,99,5,39,--,0,98%,86%,99,97,3,97,52,13,13,--,1,--,,,,,,,,,,,4,2,2,--,1,--,39,39,39,1,39,18,4,10,--,1,--,60,60,58,2,58,34,9,3,--,--,--,6,8,9,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,86,84,--,65,19,22,--,0,100%,100%,84,63,19,1,54,11,--,--,4,--,2,2,--,--,2,--,--,--,--,--,,,,,,,22,22,5,2,1,2,1,--,--,3,--,64,62,60,17,--,54,10,--,--,1,--,3,6,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall Range Independent School,Kureelpa,5,5,--,5,2,--,--,0,100%,--,5,5,2,--,5,2,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,10,9,1,9,1,4,--,0,100%,100%,9,8,1,4,8,--,--,--,--,--,,,,,,,,,,,1,1,--,1,--,--,4,4,3,--,2,3,--,--,--,--,--,5,5,5,1,2,5,--,--,--,--,--,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,20,18,1,19,2,6,--,0,95%,100%,18,18,2,--,18,10,--,--,--,--,1,1,--,--,1,--,--,--,--,--,,,,,,,6,6,6,--,--,6,1,--,--,--,--,13,12,13,2,--,13,9,--,--,--,--,1,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,48,46,2,47,11,10,--,0,98%,100%,46,46,10,29,46,5,--,--,--,--,,,,,,,,,,,2,1,1,--,--,--,10,10,10,--,8,10,--,--,--,--,--,36,36,36,10,21,36,5,--,--,--,--,0,3,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,97,97,--,65,17,45,--,0,100%,92%,97,65,17,21,57,7,--,--,2,1,,,,,,,,,,,,,,,,,45,45,16,1,6,13,1,--,--,2,1,52,52,49,16,15,44,6,--,--,--,--,9,15,11,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,95,89,6,74,12,31,--,0,95%,93%,89,73,12,3,56,24,--,--,--,--,,,,,,,,,,,6,1,--,--,1,--,31,31,23,3,--,20,3,--,--,--,--,58,58,50,9,3,36,21,--,--,--,--,4,5,13,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,62,61,--,46,15,28,--,1,98%,100%,61,46,15,19,34,11,--,--,3,--,,,,,,,,,,,,,,,,,28,28,16,5,7,7,6,--,--,3,--,34,33,30,10,12,27,5,--,--,--,--,3,10,7,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,113,111,2,113,25,42,--,0,100%,97%,111,111,24,108,61,43,--,3,1,6,,,,,,,,,,,2,2,1,2,2,--,42,42,42,5,41,3,7,--,2,1,4,69,69,69,19,67,58,36,--,1,--,2,9,10,13,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,268,263,5,266,36,64,--,0,100%,92%,263,262,36,163,253,65,1,--,1,--,,,,,,,,,,,5,4,--,4,2,--,64,64,63,--,17,58,6,--,--,1,--,199,199,199,36,146,195,59,1,--,--,--,8,13,19,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,148,146,--,100,17,59,--,1,99%,100%,146,99,17,39,72,46,--,--,--,--,2,1,--,--,1,--,--,--,--,--,,,,,,,59,59,24,6,11,14,10,--,--,--,--,89,87,76,11,28,59,36,--,--,--,--,3,18,16,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,133,132,--,86,4,113,--,1,99%,99%,132,86,4,1,3,82,1,10,7,11,,,,,,,,,,,,,,,,,113,113,67,3,1,--,63,--,6,7,6,20,19,19,1,--,3,19,1,4,--,5,23,39,28,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,36,29,1,14,1,30,--,1,89%,100%,29,11,1,--,10,--,--,--,--,--,6,3,--,--,3,--,--,--,--,--,,,,,,,30,26,11,1,--,10,--,--,--,--,--,5,3,3,--,--,3,--,--,--,--,--,8,6,7,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,144,143,1,132,46,40,--,0,99%,94%,143,132,46,41,117,80,4,3,11,3,,,,,,,,,,,,,,,,,40,40,33,8,1,24,14,1,--,10,--,103,103,99,38,40,93,66,3,3,1,3,8,14,15,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,175,159,--,46,3,125,--,10,92%,97%,159,44,3,1,2,15,2,29,8,30,16,2,--,--,--,--,--,2,--,3,,,,,,,125,121,19,1,--,2,4,1,15,8,15,50,38,27,2,1,--,11,1,16,--,18,48,55,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,48,46,--,22,4,28,--,0,98%,100%,46,21,3,--,14,7,--,3,--,4,2,1,1,--,--,--,--,--,--,--,,,,,,,28,27,2,1,--,--,1,--,--,--,--,20,19,20,3,--,14,6,--,3,--,4,6,5,11,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,237,237,--,1,--,237,--,0,100%,100%,237,1,--,--,--,1,--,--,--,--,,,,,,,,,,,,,,,,,237,237,1,--,--,--,1,--,--,--,--,,,,,,,,,,,,120,82,23,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,257,254,--,8,--,257,--,0,99%,100%,254,8,--,--,2,3,--,4,--,4,,,,,,,,,,,,,,,,,257,254,8,--,--,2,3,--,4,--,4,,,,,,,,,,,,132,87,28,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,228,211,17,122,16,86,--,0,96%,96%,211,115,15,53,66,35,5,3,11,5,,,,,,,,,,,17,7,1,5,3,--,86,86,21,3,11,9,4,1,--,8,--,125,125,94,12,42,57,31,4,3,3,5,25,35,17,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,514,513,1,486,5,434,--,0,100%,98%,513,486,5,23,449,73,17,47,45,50,,,,,,,,,,,,,,,,,434,434,411,1,4,402,27,7,28,45,29,79,79,75,4,19,47,46,10,19,--,21,217,124,73,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,155,155,--,76,7,56,--,0,100%,98%,155,76,7,37,49,40,--,10,5,10,,,,,,,,,,,,,,,,,56,56,8,--,--,2,--,--,6,5,6,99,99,68,7,37,47,40,--,4,--,4,3,21,24,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,49,39,1,18,1,30,--,4,82%,82%,39,17,1,--,13,9,--,--,--,--,9,1,--,--,1,--,--,--,--,--,,,,,,,30,26,5,1,--,4,4,--,--,--,--,18,13,13,--,--,10,5,--,--,--,--,4,8,8,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,95,87,3,62,17,34,--,3,96%,85%,87,58,14,14,49,7,--,--,1,--,5,2,1,--,1,--,--,--,--,--,3,2,2,--,1,--,34,34,9,1,1,7,--,--,--,1,--,58,53,51,14,13,43,7,--,--,--,--,5,10,10,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,15,--,15,11,--,--,--,0,73%,--,,,,,,,,,,,,,,,,,,,,,15,11,--,11,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,196,184,6,192,30,71,--,1,98%,91%,184,183,26,172,108,26,--,--,1,--,6,5,--,5,3,--,--,--,--,--,6,4,4,4,3,--,71,70,70,3,63,15,6,--,--,1,--,119,114,118,23,114,96,20,--,--,--,--,9,14,20,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,100,100,--,83,17,17,--,0,100%,94%,100,83,17,24,65,39,1,--,--,--,,,,,,,,,,,,,,,,,17,17,7,1,1,4,2,--,--,--,--,83,83,76,16,23,61,37,1,--,--,--,1,3,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,68,65,2,27,5,48,--,0,99%,100%,65,25,5,6,18,11,--,--,2,--,,,,,,,,,,,2,2,--,2,--,--,48,47,8,1,--,5,4,--,--,2,--,18,18,17,4,6,13,7,--,--,--,--,3,14,20,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,39,37,2,36,9,16,--,0,100%,94%,37,34,7,18,26,4,--,--,--,--,,,,,,,,,,,2,2,2,--,2,--,16,16,13,3,9,7,1,--,--,--,--,21,21,21,4,9,19,3,--,--,--,--,1,3,4,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Elliott,6,--,5,4,--,--,--,0,67%,--,,,,,,,,,,,1,1,--,1,1,--,--,--,--,--,5,3,--,1,2,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,77,70,7,77,13,36,--,0,100%,97%,70,70,11,61,41,15,--,--,3,--,,,,,,,,,,,7,7,2,7,3,--,36,36,36,3,31,15,7,--,--,3,--,34,34,34,8,30,26,8,--,--,--,--,10,6,11,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwgcolman Community School,Palm Island,6,6,--,6,3,--,--,0,100%,--,6,6,3,--,6,2,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,29,--,29,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,170,162,5,138,14,34,--,3,98%,95%,162,134,12,31,99,81,--,13,1,16,3,--,--,--,--,--,--,--,--,1,5,4,2,2,3,--,34,34,19,--,1,16,8,--,2,1,2,131,128,115,12,30,83,73,--,11,--,15,2,14,14,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Cairns,98,78,--,60,6,13,--,15,84%,84%,78,56,4,8,12,24,18,10,1,12,20,4,2,--,1,1,--,--,--,--,,,,,,,13,12,2,--,1,--,--,1,--,--,--,85,66,58,6,7,13,25,17,10,1,12,4,3,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,269,259,4,112,23,164,19,1,98%,97%,259,108,23,44,96,21,--,--,--,--,6,4,--,2,4,--,--,--,--,--,,,,,,,164,164,39,8,10,30,10,--,--,--,--,72,70,63,14,34,60,11,--,--,--,--,25,50,51,36,2,19,18,4,1,1,4,--,--,--,--,--,10,7,6,--,1,6,--,--,--,--,--,2,2,3,12
Cairns State Special School,Woree,3,--,3,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale Community College,Calamvale,162,160,2,141,34,51,--,0,100%,100%,160,139,32,21,116,36,--,42,7,44,,,,,,,,,,,2,2,2,--,2,--,51,51,34,--,4,27,--,--,8,7,9,109,109,105,32,17,89,36,--,34,--,35,10,22,15,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale Special School,Calamvale,8,--,8,1,--,--,--,0,13%,--,,,,,,,,,,,,,,,,,,,,,8,1,--,1,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,15,15,--,15,2,8,--,0,100%,100%,15,15,2,--,15,1,--,--,1,--,,,,,,,,,,,,,,,,,8,8,8,1,--,8,--,--,--,1,--,7,7,7,1,--,7,1,--,--,--,--,1,2,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,12,9,--,6,2,6,--,2,83%,100%,9,5,2,--,2,2,--,--,2,--,3,1,--,--,1,1,--,--,--,--,,,,,,,6,6,2,1,--,1,--,--,--,1,--,6,3,4,1,--,2,3,--,--,1,--,0,1,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra City Private School,Pelican Waters,26,24,--,8,--,23,--,1,92%,95%,24,8,--,1,5,2,1,--,--,--,,,,,,,,,,,,,,,,,23,22,7,--,--,4,2,1,--,--,--,3,2,1,--,1,1,--,--,--,--,--,3,7,6,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
