School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,106,106,--,41,6,89,--,0,100%,99%,106,41,6,1,4,18,--,25,17,25,,,,,,,,,,,,,,,,,89,89,25,3,--,2,12,--,12,17,12,17,17,16,3,1,2,6,--,13,--,13,24,37,24,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,6,5,--,5,2,--,--,0,100%,--,5,4,1,3,--,--,--,--,--,--,1,1,1,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,44,39,--,13,5,18,--,3,93%,--,39,11,3,--,--,9,--,--,--,--,5,2,2,--,--,1,--,--,--,--,,,,,,,,,,,,,,,,,,26,21,13,5,--,--,10,--,--,--,--,5,6,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,165,165,--,160,21,100,--,0,100%,94%,165,160,21,154,40,30,1,--,29,1,,,,,,,,,,,,,,,,,100,100,96,3,95,19,12,--,--,29,--,65,65,64,18,59,21,18,1,--,--,1,16,31,30,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,25,1,--,14,3,--,--,11,56%,--,1,1,--,1,1,--,--,--,--,--,24,13,3,8,6,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,167,157,4,107,15,66,--,1,99%,100%,157,99,12,47,88,3,--,--,15,--,6,5,--,1,5,--,--,--,--,--,4,3,3,2,2,--,66,66,22,3,9,16,1,--,--,15,--,97,91,82,9,39,77,2,--,--,--,--,14,20,18,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,186,183,3,137,71,95,--,0,100%,96%,183,134,68,10,70,73,--,1,6,1,,,,,,,,,,,3,3,3,--,2,--,95,95,53,32,2,9,39,--,--,6,--,88,88,81,36,8,61,34,--,1,--,1,12,28,32,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,233,232,--,37,4,203,--,1,100%,100%,232,37,4,1,10,13,3,16,--,17,,,,,,,,,,,,,,,,,203,203,16,3,1,1,3,--,9,--,9,30,29,21,1,--,9,10,3,7,--,8,92,64,36,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,175,173,--,77,31,143,--,0,100%,100%,173,75,30,5,19,42,1,36,16,37,2,2,1,1,1,1,--,--,--,--,,,,,,,143,142,45,16,5,9,21,1,15,15,16,32,31,32,15,1,11,22,--,21,1,21,50,56,32,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,54,51,--,34,20,21,--,2,94%,100%,51,34,20,1,29,18,--,--,--,--,,,,,,,,,,,,,,,,,21,20,6,2,--,3,4,--,--,--,--,33,31,28,18,1,26,14,--,--,--,--,4,6,4,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
