School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Pimlico State High School,Pimlico,252,228,4,121,12,183,--,3,94%,98%,228,111,11,6,99, 21,1,--,--,25,20,10,1,1,9,1,--,--,--,4,,,,,,,183,172,63,7,4,54, 10,1,--,--,15,65,56,58,5,3,54, 12,--,--,--,14,34,44,55,44,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Rivers Special School,Lawnton,10,--,10,2,--,--,--,0,20%,--,,,,,,,,,,,,,,,,,,,,,10,2,--,2,--, --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Rivers State High School,Strathpine,221,180,--,217,18,118,--,2,98%,98%,180,180,16,143,110, 17,1,--,4,5,41,37,2,33,19,--,--,--,1,2,,,,,,,118,106,116,12,81,53, 12,1,--,5,6,103,74,101,6,95,76, 5,--,--,--,1,17,29,37,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer State High School,Andergrove Mackay,116,99,2,93,6,50,--,2,97%,100%,99,79,6,66,55, 1,--,--,1,1,15,13,--,7,12,--,--,--,--,--,2,1,--,1,--, --,50,49,34,--,28,16, --,--,--,1,1,64,50,58,6,45,51, 1,--,--,--,--,4,9,20,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsworth State High School,Pittsworth,95,88,--,91,33,24,--,2,98%,96%,88,86,32,83,25, 29,--,--,1,14,7,5,1,5,--,--,--,--,--,1,,,,,,,24,24,23,6,22,13, 7,--,--,1,2,71,64,68,27,66,12, 22,--,--,--,13,1,10,8,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince of Peace Lutheran College,Everton Hills,32,30,--,8,--,30,--,1,97%,100%,30,7,--,2,--, 2,3,--,--,3,2,1,--,1,--,--,--,--,--,--,,,,,,,30,29,7,--,3,--, 2,2,--,--,2,2,1,1,--,--,--, --,1,--,--,1,8,7,7,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Proserpine State High School,Proserpine,139,108,--,92,9,72,--,3,94%,95%,108,69,5,44,46, 20,--,--,--,--,31,23,4,17,5,1,--,--,--,--,,,,,,,72,66,31,1,19,20, 6,--,--,--,--,67,42,61,8,42,31, 15,--,--,--,--,9,26,20,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Qld Academy for Science Mathematics and Technology,Toowong,137,117,--,19,--,--,104,18,87%,100%,117,18,--,--,--, 18,--,--,3,--,20,1,--,1,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,103,15,--,--,--, 15,--,--,2,--,2,1,1,--,--,--, 1,--,--,--,--,16,36,32,20
Queensland Academy for Creative Industries,Kelvin Grove,96,86,--,85,--,--,78,1,99%,94%,86,76,--,3,76, --,--,--,8,--,10,9,--,--,9,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,75,70,--,3,70, --,--,--,7,--,4,1,4,--,--,4, --,--,--,--,--,2,25,25,26
Queensland Academy for Health Sciences,Southport,89,82,--,74,--,--,53,6,93%,98%,82,73,--,3,2, 73,--,--,10,--,7,1,--,--,--,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,53,47,--,1,1, 47,--,--,5,--,3,3,3,--,--,--, 3,--,--,--,--,10,15,17,11
