School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,122,121,--,38,12,91,--,0,100%,97%,121,37,11,11,21,5,--,--,7,3,1,1,1,--,--,--,--,--,--,--,,,,,,,91,91,20,2,2,17,--,--,--,7,--,31,30,18,10,9,4,5,--,--,--,3,24,33,28,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,8,--,--,5,2,--,--,3,63%,--,,,,,,,,,,,8,5,2,3,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,31,30,--,19,9,19,--,0,100%,100%,30,18,8,1,8,9,--,--,1,4,1,1,1,--,--,--,--,--,--,--,,,,,,,19,19,8,2,1,3,4,--,--,1,4,12,11,11,7,--,5,5,--,--,--,--,5,6,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,196,167,--,156,30,111,--,2,96%,95%,167,134,25,100,89,41,2,--,--,25,29,22,5,19,11,2,--,--,--,5,,,,,,,111,101,73,11,49,30,31,1,--,--,15,85,66,83,19,70,70,12,1,--,--,15,22,19,31,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,15,1,--,4,3,--,--,11,27%,100%,1,1,1,1,1,--,--,--,--,--,14,3,2,1,2,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,146,121,3,138,23,61,--,1,97%,85%,121,117,19,114,67,8,1,--,5,8,22,21,4,19,4,2,--,--,--,--,,,,,,,61,57,58,10,57,22,2,--,--,4,1,82,64,80,13,76,49,8,1,--,1,7,9,13,21,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,228,204,2,163,21,87,--,5,96%,90%,204,149,20,59,115,34,2,--,--,12,22,13,1,5,11,--,--,--,--,1,2,1,--,--,1,--,87,83,43,2,26,24,10,--,--,--,1,139,121,119,19,38,102,24,2,--,--,12,16,28,31,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,234,234,--,76,13,201,--,0,100%,99%,234,76,13,44,21,10,--,--,7,15,,,,,,,,,,,,,,,,,201,201,58,1,39,18,1,--,--,7,4,33,33,18,12,5,3,9,--,--,--,11,64,66,58,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,183,182,--,151,21,135,--,0,100%,94%,182,150,21,133,36,30,1,1,12,4,1,1,--,1,--,--,--,--,--,--,,,,,,,135,134,106,8,101,8,10,--,--,8,--,48,48,45,13,33,28,20,1,1,4,4,40,48,30,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,39,27,--,16,14,22,--,1,87%,80%,27,9,7,2,6,1,--,--,--,--,12,7,7,--,1,--,--,--,--,--,,,,,,,22,16,3,3,--,2,--,--,--,--,--,17,11,13,11,2,5,1,--,--,--,--,1,3,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,
