School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,116,115,--,27,11,78,--,0,100%,98%,115,26,10,5,6,19,2,--,29,2,1,1,1,--,--,1,--,--,--,--,,,,,,,78,78,1,--,--,1,--,--,--,20,--,38,37,26,11,5,5,20,2,--,9,2,27,34,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,10,4,--,8,6,--,--,2,80%,--,4,4,3,2,1,1,--,--,--,--,6,4,3,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,34,33,--,33,1,27,--,1,97%,--,33,33,1,--,33,3,--,--,--,--,,,,,,,,,,,,,,,,,27,27,27,1,--,27,1,--,--,--,--,7,6,6,--,--,6,2,--,--,--,--,6,13,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,174,160,--,163,18,85,--,3,98%,99%,160,153,16,146,76,31,1,--,4,6,14,10,2,6,6,1,--,--,--,--,,,,,,,85,83,80,3,78,14,13,--,--,4,3,89,77,83,15,74,68,19,1,--,--,3,13,19,34,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,34,--,--,10,1,--,--,24,29%,--,,,,,,,,,,,34,10,1,1,7,2,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,153,138,3,98,20,54,--,4,93%,92%,138,93,18,57,59,18,--,--,1,1,12,5,2,5,2,--,--,--,--,--,,,,,,,54,51,15,2,4,10,--,--,--,--,--,96,87,83,18,58,51,18,--,--,1,1,9,17,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,236,231,4,195,50,98,--,0,98%,97%,231,194,50,95,125,88,15,--,7,--,1,1,--,1,1,--,--,--,--,--,,,,,,,98,98,64,14,41,10,26,6,--,7,--,134,133,131,36,55,116,62,9,--,--,--,15,20,38,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,237,236,--,30,9,208,--,1,100%,98%,236,30,9,1,7,21,2,1,4,2,,,,,,,,,,,,,,,,,208,208,15,5,1,5,7,--,--,4,--,29,28,15,4,--,2,14,2,1,--,2,80,75,43,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,176,174,--,143,33,126,--,0,100%,99%,174,141,33,84,52,28,4,42,16,46,2,2,--,2,2,--,--,--,--,--,,,,,,,126,126,94,12,60,29,9,--,25,13,25,50,48,49,21,26,25,19,4,17,3,21,27,43,32,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,32,32,--,17,7,21,--,0,100%,100%,32,17,7,6,10,4,--,--,--,1,,,,,,,,,,,,,,,,,21,21,7,2,1,2,3,--,--,--,--,11,11,10,5,5,8,1,--,--,--,1,3,2,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
