School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,125,123,--,43,11,97,--,2,98%,99%,123,43,11,13,2,36,--,2,22,2,,,,,,,,,,,,,,,,,97,97,18,4,2,1,14,--,1,22,1,28,26,25,7,11,1,22,--,1,--,1,29,36,25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,8,5,--,7,7,--,--,1,88%,--,5,5,5,--,--,1,--,--,--,--,3,2,2,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,36,30,--,7,4,21,--,3,89%,--,30,5,3,--,--,2,--,--,--,--,6,2,1,--,1,--,--,--,--,--,,,,,,,21,20,1,1,--,--,--,--,--,--,--,15,10,6,3,--,1,2,--,--,--,--,5,7,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,191,189,--,188,25,101,--,0,100%,96%,189,186,25,176,67,70,1,--,10,--,2,2,--,2,1,--,--,--,--,--,,,,,,,101,101,98,8,94,8,28,1,--,10,--,90,88,90,17,84,60,42,--,--,--,--,19,31,35,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,42,6,--,24,4,--,--,18,57%,--,6,6,1,1,6,1,--,--,--,1,36,18,3,8,11,2,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,165,156,5,111,14,51,--,4,95%,98%,156,111,14,54,96,15,--,--,5,6,,,,,,,,,,,,,,,,,51,51,13,1,5,7,--,--,--,5,--,109,105,98,13,49,89,15,--,--,--,6,9,14,22,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,201,198,2,162,37,91,--,0,99%,99%,198,162,37,90,85,64,16,--,4,20,,,,,,,,,,,,,,,,,91,90,56,11,42,2,23,7,--,4,6,108,108,106,26,48,83,41,9,--,--,14,10,28,28,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,238,236,1,18,9,219,--,1,100%,100%,236,17,8,--,3,11,2,1,2,1,,,,,,,,,,,1,1,1,--,--,--,219,219,10,5,--,2,7,1,1,2,1,18,17,7,3,--,1,4,1,--,--,--,77,86,42,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,179,176,--,95,42,150,--,0,99%,98%,176,93,42,8,32,41,1,30,11,31,3,2,--,--,1,--,--,2,--,2,,,,,,,150,149,68,28,5,20,24,1,23,10,24,29,27,27,14,3,13,17,--,9,1,9,49,53,35,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,43,43,--,27,6,19,--,0,100%,100%,43,27,6,6,26,3,--,1,--,29,,,,,,,,,,,,,,,,,19,19,5,1,--,5,--,--,--,--,17,24,24,22,5,6,21,3,--,1,--,12,2,4,9,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
