School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Anglican Church Grammar School,East Brisbane,224,224,--,40,11,197,--,0,100%,98%,224,40,11,2,4,20,--,20,1,20,,,,,,,,,,,,,,,,,197,197,13,2,--,3,9,--,1,1,1,27,27,27,9,2,1,11,--,19,--,19,86,68,40,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,38,35,1,8,3,22,--,1,92%,91%,35,8,3,1,4,2,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,8,3,1,4,2,--,--,--,--,4,6,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,172,149,--,109,35,123,--,4,92%,93%,149,100,35,64,30,28,5,2,32,6,23,9,--,9,1,--,--,--,--,--,,,,,,,123,112,69,21,44,17,17,4,--,32,3,49,37,40,14,29,14,11,1,2,--,3,9,29,42,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia College,Varsity Lakes,29,9,--,27,11,--,--,2,93%,100%,9,9,3,3,8,9,--,--,--,1,20,18,8,3,15,3,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arethusa College - Deception Bay,Deception Bay,61,6,--,23,6,--,--,37,39%,100%,6,5,2,1,3,3,--,--,--,--,55,18,4,7,13,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,15,--,15,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,105,101,--,84,18,34,--,1,98%,97%,101,82,18,33,73,34,--,--,--,--,4,2,--,--,2,--,--,--,--,--,,,,,,,34,32,14,6,3,5,6,--,--,--,--,71,69,70,12,30,70,28,--,--,--,--,6,7,16,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,112,94,--,50,21,67,--,8,88%,97%,94,45,19,8,5,30,--,--,28,--,18,5,2,2,1,1,--,--,2,--,,,,,,,67,61,23,15,2,3,14,--,--,30,--,45,33,27,6,8,3,17,--,--,--,--,6,21,24,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,55,51,1,22,16,36,--,1,98%,100%,51,19,14,2,8,4,--,--,--,--,3,2,2,--,2,--,--,--,--,--,1,1,--,--,1,--,36,36,12,9,1,5,3,--,--,--,--,18,15,9,7,1,5,1,--,--,--,--,4,10,12,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,151,142,2,88,45,75,--,2,98%,95%,142,82,43,6,38,33,--,--,--,24,7,5,1,--,4,1,--,--,--,1,2,1,1,--,1,--,75,74,33,21,5,9,16,--,--,--,9,74,68,54,23,1,33,18,--,--,--,16,12,20,23,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Christian College - Moreton,Caboolture,98,18,--,29,17,11,--,56,40%,89%,18,8,5,--,2,5,--,--,--,--,80,21,12,3,9,7,--,1,7,1,,,,,,,11,8,2,1,--,1,--,--,--,--,--,87,10,27,16,3,10,12,--,1,7,1,1,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Industry Trade College,Robina,147,139,--,146,112,--,--,1,99%,50%,139,139,107,134,139,41,--,--,--,17,8,7,5,--,6,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian International Islamic College,Durack,12,8,--,--,--,12,--,0,67%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,0,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,74,65,--,74,37,--,--,0,100%,100%,65,65,30,7,65,6,--,--,--,--,9,9,7,--,8,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,69,69,--,42,20,36,--,0,100%,95%,69,42,20,3,28,11,--,--,1,--,,,,,,,,,,,,,,,,,36,36,12,6,--,7,2,--,--,1,--,33,33,30,14,3,21,9,--,--,--,--,9,14,5,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,95,87,--,50,9,36,--,6,93%,100%,87,49,9,28,34,5,--,--,--,32,8,1,--,--,1,--,--,--,--,1,,,,,,,36,35,6,2,1,4,1,--,--,--,19,59,52,44,7,27,31,4,--,--,--,14,5,14,12,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,17,16,--,10,1,7,--,1,94%,100%,16,10,1,2,7,3,--,--,--,1,,,,,,,,,,,,,,,,,7,7,2,--,--,--,2,--,--,--,--,10,9,8,1,2,7,1,--,--,--,1,0,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,62,62,--,62,11,27,--,0,100%,97%,62,62,11,61,55,7,--,--,2,--,,,,,,,,,,,,,,,,,27,27,27,1,26,21,1,--,--,2,--,35,35,35,10,35,34,6,--,--,--,--,4,9,6,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,21,19,2,16,6,8,--,0,100%,100%,19,14,6,5,13,4,--,--,--,--,,,,,,,,,,,2,2,--,2,2,--,8,8,3,3,--,2,2,--,--,--,--,11,11,11,3,5,11,2,--,--,--,--,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,239,228,2,170,28,131,--,1,100%,84%,228,160,27,132,65,46,--,--,--,1,9,8,1,8,5,--,--,--,--,--,2,2,--,2,--,1,131,127,65,5,40,16,19,--,--,--,--,106,101,103,23,100,54,27,--,--,--,1,14,24,34,40,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,11,--,11,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,103,100,--,79,27,34,--,1,99%,93%,100,77,27,15,52,26,1,--,--,--,3,2,--,--,1,1,--,--,--,--,,,,,,,34,34,18,4,--,13,7,1,--,--,--,69,66,61,23,15,40,20,--,--,--,--,2,3,8,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,154,144,1,149,36,40,--,3,98%,93%,144,142,35,123,46,32,6,--,2,2,9,6,1,6,2,1,--,--,--,--,1,1,--,1,--,--,40,40,40,6,36,3,6,--,--,2,--,113,104,108,30,93,45,27,6,--,--,2,2,14,15,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,355,346,--,291,60,83,--,0,100%,93%,346,283,59,263,87,81,4,25,19,33,9,8,1,8,1,--,--,1,1,2,,,,,,,83,82,19,4,1,7,10,1,--,18,--,272,264,272,56,270,81,71,3,26,2,35,15,35,25,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,129,119,7,116,13,45,--,2,96%,100%,119,111,11,101,49,10,9,1,--,6,3,1,--,1,--,--,--,--,--,--,7,4,2,3,3,--,45,45,40,5,36,16,3,7,--,--,1,77,74,72,6,66,33,7,2,1,--,5,4,7,14,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,85,81,1,57,17,35,--,1,98%,90%,81,55,16,40,40,9,1,--,3,--,3,2,1,2,--,--,--,--,--,--,,,,,,,35,35,11,2,5,7,3,1,--,3,--,49,46,46,15,37,33,6,--,--,--,--,11,9,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,11,10,--,11,2,4,--,0,100%,100%,10,10,2,--,9,--,--,--,--,--,1,1,--,--,1,--,--,--,--,--,,,,,,,4,4,4,2,--,3,--,--,--,--,--,7,6,7,--,--,7,--,--,--,--,--,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,28,27,--,20,6,11,--,1,96%,83%,27,20,6,1,7,18,--,--,--,16,,,,,,,,,,,,,,,,,11,11,6,1,--,2,4,--,--,--,7,17,16,14,5,1,5,14,--,--,--,9,2,4,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,55,53,2,54,7,16,--,0,98%,75%,53,53,7,33,53,1,--,--,--,--,,,,,,,,,,,2,1,--,1,1,--,16,16,16,1,8,16,1,--,--,--,--,37,37,37,6,25,37,--,--,--,--,--,0,2,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,90,88,--,53,13,47,--,0,100%,94%,88,51,13,8,42,7,--,--,2,--,2,2,--,--,2,--,--,--,--,1,,,,,,,47,47,13,4,2,7,3,--,--,2,--,43,41,40,9,6,37,4,--,--,--,1,3,9,21,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,85,80,2,56,9,25,--,2,95%,100%,80,55,8,2,43,18,--,--,--,12,3,1,1,--,--,--,--,--,--,--,,,,,,,25,25,11,2,--,6,4,--,--,--,6,58,55,45,7,2,37,14,--,--,--,6,2,9,9,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,68,68,--,68,15,25,--,0,100%,100%,68,68,15,67,64,20,--,--,3,--,,,,,,,,,,,,,,,,,25,25,25,4,24,22,3,--,--,2,--,43,43,43,11,43,42,17,--,--,1,--,4,7,8,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,139,134,5,139,30,46,--,0,100%,96%,134,134,28,134,85,21,--,--,1,--,,,,,,,,,,,5,5,2,5,2,1,46,46,46,5,46,8,4,--,--,1,--,88,88,88,23,88,77,17,--,--,--,--,6,10,19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,253,244,4,242,42,76,--,1,99%,86%,244,235,41,189,170,42,2,--,6,--,5,4,1,2,4,--,--,--,--,--,4,3,--,2,2,--,76,74,71,9,64,29,10,2,--,6,--,173,170,168,33,127,145,32,--,--,--,--,7,14,22,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,139,127,2,109,20,56,--,0,99%,90%,127,98,18,22,80,47,--,--,3,1,10,9,2,6,6,--,--,--,--,--,2,2,--,1,2,--,56,54,26,5,4,14,11,--,--,3,1,81,73,81,15,24,72,36,--,--,--,--,5,14,20,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,121,119,1,103,9,92,--,1,98%,96%,119,103,9,78,5,73,--,--,5,4,,,,,,,,,,,,,,,,,92,92,76,7,61,1,46,--,--,5,--,28,27,27,2,17,4,27,--,--,--,4,20,42,18,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,40,32,--,2,--,34,--,4,80%,96%,32,2,--,--,2,--,--,--,--,--,,,,,,,,,,,,,,,,,34,30,1,--,--,1,--,--,--,--,--,6,2,1,--,--,1,--,--,--,--,--,4,6,12,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,183,181,2,106,27,80,--,0,100%,87%,181,104,25,31,93,31,--,--,4,1,,,,,,,,,,,2,2,2,1,1,--,80,80,16,3,1,12,5,--,--,4,--,101,101,88,22,30,81,26,--,--,--,1,8,18,29,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,218,182,--,48,7,166,--,15,89%,96%,182,37,4,2,2,21,--,13,2,13,36,11,3,--,2,2,1,4,--,4,,,,,,,166,153,17,1,2,2,4,--,9,2,9,52,29,31,6,--,2,19,1,8,--,8,43,60,43,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,36,35,--,11,5,27,--,0,100%,70%,35,10,4,1,4,4,--,--,3,1,1,1,1,--,--,--,--,--,--,--,,,,,,,27,27,2,1,1,--,--,--,--,3,--,9,8,9,4,--,4,4,--,--,--,1,2,8,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,223,221,--,3,--,223,--,0,99%,98%,221,3,--,1,1,--,--,1,4,1,,,,,,,,,,,,,,,,,223,221,3,--,1,1,--,--,1,4,1,,,,,,,,,,,,101,74,38,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,247,241,--,--,--,247,--,0,98%,99%,,,,,,,,,,,,,,,,,,,,,,,,,,,247,241,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,139,75,29,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,231,192,11,147,23,84,--,6,92%,93%,192,126,19,52,49,62,10,9,12,19,28,19,4,12,8,4,--,1,--,1,11,2,--,1,--,1,84,81,29,2,15,10,6,1,--,11,1,136,111,116,21,49,47,60,9,10,1,19,19,36,18,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,398,397,1,320,11,340,--,0,100%,98%,397,319,10,11,278,93,9,--,41,1,,,,,,,,,,,1,1,1,1,--,--,340,340,262,4,3,247,42,5,--,41,--,57,57,57,6,8,31,51,4,--,--,1,171,92,52,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,160,155,5,121,17,47,--,0,100%,99%,155,116,17,11,96,50,--,--,13,8,,,,,,,,,,,5,5,--,5,3,--,47,47,17,2,1,10,6,--,--,13,1,108,108,99,15,10,86,44,--,--,--,7,7,9,16,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,44,40,--,20,3,27,--,1,91%,90%,40,20,3,--,14,5,--,--,--,1,,,,,,,,,,,,,,,,,27,24,4,--,--,--,4,--,--,--,1,17,16,16,3,--,14,1,--,--,--,--,9,4,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,139,131,--,85,9,51,--,2,98%,95%,131,80,9,41,61,13,--,--,--,8,8,5,--,2,4,--,--,--,--,--,,,,,,,51,50,16,2,8,6,3,--,--,--,2,88,81,69,7,35,59,10,--,--,--,6,9,11,23,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,13,--,13,3,--,--,--,0,23%,--,,,,,,,,,,,,,,,,,,,,,13,3,--,3,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,189,181,5,189,25,62,--,0,100%,94%,181,181,25,176,116,14,--,--,--,--,3,3,--,3,1,--,--,--,--,--,5,5,--,5,--,--,62,61,62,9,59,11,5,--,--,--,--,122,120,122,16,120,106,9,--,--,--,--,4,19,22,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,111,111,--,91,29,31,--,0,100%,95%,111,91,29,55,68,25,--,--,1,--,,,,,,,,,,,,,,,,,31,31,13,3,9,2,4,--,--,1,--,80,80,78,26,46,66,21,--,--,--,--,1,4,7,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,68,67,--,30,4,45,--,0,100%,100%,67,29,4,16,12,7,--,--,1,--,1,1,--,1,--,--,--,--,--,--,,,,,,,45,45,9,1,4,2,4,--,--,1,--,23,22,21,3,13,10,3,--,--,--,--,8,17,15,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin School,Ayr,1,--,1,1,--,--,--,0,100%,--,,,,,,,,,,,,,,,,,,,,,1,1,--,1,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,32,29,3,28,8,16,--,0,97%,89%,29,26,6,16,19,6,--,--,--,2,,,,,,,,,,,3,2,2,--,1,--,16,16,13,1,9,6,1,--,--,--,--,13,13,13,5,7,13,5,--,--,--,2,1,5,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett Youth Learning Centre,Bundaberg South,6,--,6,4,--,--,--,0,67%,--,,,,,,,,,,,,,,,,,,,,,6,4,--,--,4,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,77,76,1,76,12,33,--,0,99%,96%,76,76,12,74,13,8,--,--,1,--,,,,,,,,,,,,,,,,,33,33,33,3,32,1,4,--,--,1,--,43,43,43,9,42,12,4,--,--,--,--,3,4,13,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwgcolman Community School,Palm Island,9,7,--,7,--,--,--,2,78%,100%,7,7,--,--,7,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,10,--,10,6,--,--,--,0,60%,--,,,,,,,,,,,,,,,,,,,,,10,6,--,6,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,183,167,6,143,20,68,--,4,97%,94%,167,132,18,45,111,57,--,--,2,1,10,6,1,4,3,1,--,--,--,--,6,5,1,5,2,--,68,68,38,1,--,31,25,--,--,1,--,109,99,100,18,49,83,33,--,--,1,1,13,9,25,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Manunda Cairns,47,32,3,31,3,7,--,6,81%,100%,32,25,1,6,6,14,1,9,1,10,12,6,2,2,2,--,--,2,--,2,,,,,,,7,7,3,--,1,1,--,--,1,1,1,37,25,28,3,7,7,14,1,10,--,11,0,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,234,211,5,108,26,120,14,10,93%,95%,211,104,22,43,53,39,--,1,--,18,18,1,1,--,--,--,--,--,--,--,5,3,3,--,3,--,120,116,35,9,10,14,14,--,--,--,8,87,81,68,12,33,39,23,--,1,--,9,19,49,42,10,0,14,11,2,2,--,--,2,--,--,--,1,8,3,--,--,--,--,--,--,--,--,--,1,4,3,5
Calamvale Community College,Calamvale,173,172,1,146,18,51,--,0,100%,97%,172,145,17,65,114,26,9,9,8,9,,,,,,,,,,,1,1,1,--,--,--,51,51,27,1,21,8,4,2,--,7,--,121,121,118,16,44,106,22,7,9,1,9,7,19,13,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale State Special School,Calamvale,8,--,8,3,--,--,--,0,38%,--,,,,,,,,,,,,,,,,,,,,,8,3,--,3,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,16,16,--,16,4,5,--,0,100%,100%,16,16,4,12,15,--,--,--,1,1,,,,,,,,,,,,,,,,,5,5,5,--,5,5,--,--,--,1,--,11,11,11,4,7,10,--,--,--,--,1,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,17,13,1,16,2,9,--,1,94%,100%,13,13,2,13,2,2,--,--,1,--,3,2,--,2,--,--,--,--,--,--,1,1,--,1,--,--,9,9,9,1,9,1,--,--,--,1,--,7,4,6,1,6,1,2,--,--,--,--,0,5,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra City Private School,Pelican Waters,16,15,--,9,1,14,--,0,100%,100%,15,8,--,--,2,2,--,5,--,5,1,1,1,--,--,--,--,1,--,1,,,,,,,14,14,7,--,--,2,2,--,4,--,4,2,1,2,1,--,--,--,--,2,--,2,1,5,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra State High School,Caloundra,173,172,1,172,34,61,--,0,99%,95%,172,172,34,165,101,46,14,--,6,11,,,,,,,,,,,,,,,,,61,61,61,5,59,8,8,3,--,5,1,111,111,111,29,106,93,38,11,--,1,10,7,22,14,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvary Christian College,Carbrook,66,59,--,20,12,55,--,1,95%,96%,59,16,10,1,2,12,--,--,6,--,7,4,2,1,3,1,--,--,--,--,,,,,,,55,53,11,7,--,1,8,--,--,6,--,11,6,9,5,2,4,5,--,--,--,--,17,17,8,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,
