School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
Aspley Special School,Aspley,9,--,8,--,--,--,--,1,0%,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,94,63,--,77,6,65,--,2,94%,77%,63,52,3,37,44,8,--,--,--,6,31,25,3,18,19,--,--,--,--,3,,,,,,,65,48,51,1,36,39,5,--,--,--,8,29,15,26,5,19,24,3,--,--,--,1,4,14,14,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Assisi Catholic College,Upper Coomera,39,37,1,15,3,24,--,1,95%,93%,37,15,3,1,8,6,--,--,1,10,,,,,,,,,,,,,,,,,24,24,8,1,--,5,3,--,--,1,3,14,13,7,2,1,3,3,--,--,--,7,3,2,6,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,32,27,1,15,3,21,--,1,94%,85%,27,12,3,--,11,--,--,--,--,--,4,3,--,--,3,--,--,--,--,--,,,,,,,21,20,7,2,--,6,--,--,--,--,--,10,7,8,1,--,8,--,--,--,--,--,3,3,9,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,166,90,1,135,34,69,--,18,87%,92%,90,81,18,68,63,17,--,--,--,4,75,53,16,45,31,2,--,--,--,--,1,1,--,1,1,--,69,60,56,5,42,39,6,--,--,--,2,96,30,78,29,71,55,13,--,--,--,2,12,17,21,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Industry Trade College,Robina,144,141,--,144,131,--,--,0,100%,67%,141,141,128,141,141,1,--,--,--,3,3,3,3,2,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,157,144,--,157,150,--,--,0,100%,83%,144,144,137,3,142,49,--,--,--,--,13,13,13,--,9,5,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,58,33,--,16,5,34,--,10,66%,89%,33,11,3,7,1,4,--,--,1,5,25,5,2,3,--,1,--,--,--,2,,,,,,,34,22,6,2,3,--,1,--,--,--,5,24,11,10,3,7,1,4,--,--,1,2,3,7,9,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,79,61,--,58,16,43,--,6,86%,90%,61,51,11,44,22,5,--,--,--,--,18,7,5,7,3,--,--,--,--,1,,,,,,,43,38,31,5,26,13,3,--,--,--,1,36,23,27,11,25,12,2,--,--,--,--,6,11,15,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,20,13,2,14,3,7,--,1,90%,83%,13,9,3,1,6,3,--,--,--,--,5,3,--,3,--,--,--,--,--,--,2,2,--,2,--,--,7,6,3,--,--,3,--,--,--,--,--,11,7,9,3,4,3,3,--,--,--,--,1,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
